Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Bipul Bhuyan,Indian Institute of Technology Guwahati,Particle Physics,98786,https://scholar.google.com/citations?hl=en&user=shLBfaQAAAAJ,156,781
Ajaikumar B Kunnumakkara,"Professor, Department of Biosciences and Bioengineering, Indian Institute of Technology …","Cancer Biology, Pharmacology, Molecular Biology, Chronic Diseases",63492,https://scholar.google.com/citations?hl=en&user=isPyuFYAAAAJ,90,243
amit srivastava,IIT GUWAHATI,"WORD COMBINATORICS, FORMAL LANGUAGE",26224,https://scholar.google.com/citations?hl=en&user=ELPfWZQAAAAJ,79,565
Prof. MK Purkait  (Dr. Mihir Kumar Purkait),"Department of Chemical Enginering, Indian Institute of Technology Guwahati","Environmental Engineering, Membrane Technology, Separation Science, Water and wastewater treatment",23698,https://scholar.google.com/citations?hl=en&user=9Z4kD-sAAAAJ,87,246
Abu T. Khan,"Department of Chemistry, Indian Institute of Technology Guwahati","Multicomponent reaction, Green Chemistry, Heterocylic synthesis, carbohydrate synthesis",17555,https://scholar.google.com/citations?hl=en&user=Po33NwoAAAAJ,56,277
BIMAN B. MANDAL,"Professor, Department of Biosciences and Bioengineering, IIT Guwahati","Regenerative Medicine, Biomaterials, 3D Organoids & On-Chip Models, Stem cells, Drug delivery",16347,https://scholar.google.com/citations?hl=en&user=L7hpHIcAAAAJ,71,189
VS Moholkar,"HAG Professor, Dept of Chemical Engineering, Indian Institute of Technology Guwahati","Cavitation-aided Processes, Biofuels (gaseous/liquid)",15885,https://scholar.google.com/citations?hl=en&user=qOl1YgEAAAAJ,72,237
Vaibhav Goud,"Department of Chemical Engineering, Indian Institute of Technology Guwahati",,15722,https://scholar.google.com/citations?hl=en&user=pjb8HBkAAAAJ,54,148
Kaustubha Mohanty,"Professor of Chemical Engineering, IIT Guwahati","Microalgae, Biofuels, Biological Wastewater Treatment, Biomass Pyrolysis, Membrane Technology",14370,https://scholar.google.com/citations?hl=en&user=QOFTgxAAAAAJ,66,203
Ajay Kalamdhad,"Professor, Department of Civil Engineering, Indian Institute of Technology Guwahati","Environmental Engineering, Solid waste management, Composting",13948,https://scholar.google.com/citations?hl=en&user=6ElkLskAAAAJ,63,228
Shyam Biswas,IIT Guwahati,Inorganic Chemistry,12577,https://scholar.google.com/citations?hl=en&user=I7U6Ox4AAAAJ,46,129
"Siddhartha  Sankar Ghosh,  Ghosh SS, SS Ghosh","Professor, Depart of Biosciences and Bioengineering, Indian Institute of Technology …","Gene Therapy, Cancer Biology, Nanobiology",12500,https://scholar.google.com/citations?hl=en&user=zJOfvfUAAAAJ,57,168
"Parameswar Krishnan Iyer; PK Iyer; Parameswar K Iyer; P Iyer; Iyer PK, Iyer Parameswar Krishnan, PKI","Department of Chemistry, Indian Institute of Technology Guwahati","Polymer, Material, Photovoltaic, Sensor, Spectroscopy",12337,https://scholar.google.com/citations?hl=en&user=Y2aowXAAAAAJ,58,222
Tharmalingam Punniyamurthy,"Department of Chemistry, Indian Institute of Technology Guwahati, Guwahati 781039",Organic synthesis,12038,https://scholar.google.com/citations?hl=en&user=alLhL0AAAAAJ,56,157
"Subhash C. Mishra, FNAE, FASME, FIE(I)","Professor, Department of Mechanical Engineering, IIT Guwahati","Heat Transfer - Radiation, Participating Medium, Porous Media Combustion, Heat Transfer through Insulation Systems, Atmospheric Radiation",11884,https://scholar.google.com/citations?hl=en&user=AhpalIwAAAAJ,52,226
Arun Chattopadhyay,"Department of Chemistry, Indian Institute of Technology Guwahati","Nanoscale Science, Assembly of Molecules",11382,https://scholar.google.com/citations?hl=en&user=Ym02t0UAAAAJ,53,161
Prof.  PK Giri,Indian institute of technology Guwahati,"Nanomaterials, Semiconductors, Graphene, 2D Materials, Optoelectronics",10365,https://scholar.google.com/citations?hl=en&user=UYRlnoUAAAAJ,55,178
Vimal Katiyar,"Professor, IIT Guwahati",,10087,https://scholar.google.com/citations?hl=en&user=hiSED3QAAAAJ,57,194
Bhisma K Patel,"Professor of Chemistry, Indian Institute of Technology Guwahati","CH activation, Catalysis, Hypervalent iodine, Green Chemistry, Heterocyclic Chemistry",9830,https://scholar.google.com/citations?hl=en&user=bIaYaeQAAAAJ,55,184
Ujjwal K. Saha,"Professor of Mechanical Engineering, Indian Institute of Technology Guwahati","Propulsion, Turbomachinery, Applied Aerodynamics, Wind Energy, Internal Combustion Engines",9650,https://scholar.google.com/citations?hl=en&user=KmcDxokAAAAJ,48,127
Sukumar Nandi,Professor Indian Institute of Technology Guwahati,"Computer Networks, Information Security",9308,https://scholar.google.com/citations?hl=en&user=ChtruacAAAAJ,43,195
Gopal Das,IIT Guwahati,"Supramolecular Chemistry, Chemical Biology, Water treatment",9099,https://scholar.google.com/citations?hl=en&user=GHi25EUAAAAJ,49,215
Utpal Bora,"Professor, Indian Institute of Technology Guwahati","Bioengineering, Environment",8962,https://scholar.google.com/citations?hl=en&user=3WHn3QMAAAAJ,45,88
Pinakeswar Mahanta,"Professor of Mechanical Engineering, IIT Guwahati","Heat Transfer, Renewable energy, Fluidized bed",8952,https://scholar.google.com/citations?hl=en&user=t0viKX4AAAAJ,45,146
Prof. Chandan Das,"Department of Chemical Engineering, IIT Guwahati","Wastewater treatment, membrane separation, bioremediation, Catalytic membrane reactor",8801,https://scholar.google.com/citations?hl=en&user=HB_fCMoAAAAJ,44,227
Sarangthem Joychandra Singh,IIT-Guwahati,"CH functionalization, Multicomponent reactions",8660,https://scholar.google.com/citations?hl=en&user=-sXM55QAAAAJ,38,138
Prabir Barooah,"Professor, Electronics and Electrical Engineering, Indian Institute of Technology Guwahati","distributed control, renewable energy integration, smart grid, energy efficiency",8173,https://scholar.google.com/citations?hl=en&user=f4P0dYsAAAAJ,46,112
richa sharma,INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI,"membrane reactors, heterogeneous catalysis, gas separation, dense membranes",7999,https://scholar.google.com/citations?hl=en&user=npMjAGEAAAAJ,39,126
Jeevanantham Sathasivam,"Doctoral Research Fellow, Indian Institute of Technology Guwahati, Assam, India.","Wastewater Treatment, Emerging Contaminants, Biochar, Adsorption, Advanced Oxidation Processes",7922,https://scholar.google.com/citations?hl=en&user=zfhbiGQAAAAJ,33,42
Tamal Banerjee,"Professor of Chemical Engineering ,IIT Guwahati","Deep Eutectic Solvents, Hydrogels, Thermal Fluids, COSMO-RS, Reactive Force Field Simulations",7852,https://scholar.google.com/citations?hl=en&user=iSwkMbMAAAAJ,49,141
Dr. Lalit M Pandey,IIT Guwahati,"Bio-interfaces and Biomaterials, Protein's adsorption and aggregation, Environmental Biotechnology",7726,https://scholar.google.com/citations?hl=en&user=Y4qB9qUAAAAJ,49,133
Lingaraj Sahoo,"Professor of Biotechnology, Indian Institute of Technology Guwahati","Plant Functional Genomics, Crop Improvement",7710,https://scholar.google.com/citations?hl=en&user=elIBAo0AAAAJ,49,130
Ramagopal Uppaluri,IIT Guwahati,Chemical Engineering,7559,https://scholar.google.com/citations?hl=en&user=e64mz7sAAAAJ,48,136
