Name,Affiliation,Interests,Cited By,Profile URL
Bipul Bhuyan,Indian Institute of Technology Guwahati,Particle Physics,98728.0,https://scholar.google.com/citations?hl=en&user=shLBfaQAAAAJ
Ajaikumar B Kunnumakkara,"Professor, Department of Biosciences and Bioengineering, Indian Institute of Technology …","Cancer Biology, Pharmacology, Molecular Biology, Chronic Diseases",63482.0,https://scholar.google.com/citations?hl=en&user=isPyuFYAAAAJ
amit srivastava,IIT GUWAHATI,"WORD COMBINATORICS, FORMAL LANGUAGE",26209.0,https://scholar.google.com/citations?hl=en&user=ELPfWZQAAAAJ
Prof. MK Purkait  (Dr. Mihir Kumar Purkait),"Department of Chemical Enginering, Indian Institute of Technology Guwahati","Environmental Engineering, Membrane Technology, Separation Science, Water and wastewater treatment",23686.0,https://scholar.google.com/citations?hl=en&user=9Z4kD-sAAAAJ
Abu T. Khan,"Department of Chemistry, Indian Institute of Technology Guwahati","Multicomponent reaction, Green Chemistry, Heterocylic synthesis, carbohydrate synthesis",17553.0,https://scholar.google.com/citations?hl=en&user=Po33NwoAAAAJ
BIMAN B. MANDAL,"Professor, Department of Biosciences and Bioengineering, IIT Guwahati","Regenerative Medicine, Biomaterials, 3D Organoids & On-Chip Models, Stem cells, Drug delivery",16344.0,https://scholar.google.com/citations?hl=en&user=L7hpHIcAAAAJ
VS Moholkar,"HAG Professor, Dept of Chemical Engineering, Indian Institute of Technology Guwahati","Cavitation-aided Processes, Biofuels (gaseous/liquid)",15877.0,https://scholar.google.com/citations?hl=en&user=qOl1YgEAAAAJ
Vaibhav Goud,"Department of Chemical Engineering, Indian Institute of Technology Guwahati",,15714.0,https://scholar.google.com/citations?hl=en&user=pjb8HBkAAAAJ
Kaustubha Mohanty,"Professor of Chemical Engineering, IIT Guwahati","Microalgae, Biofuels, Biological Wastewater Treatment, Biomass Pyrolysis, Membrane Technology",14356.0,https://scholar.google.com/citations?hl=en&user=QOFTgxAAAAAJ
Ajay Kalamdhad,"Professor, Department of Civil Engineering, Indian Institute of Technology Guwahati","Environmental Engineering, Solid waste management, Composting",13944.0,https://scholar.google.com/citations?hl=en&user=6ElkLskAAAAJ
Shyam Biswas,IIT Guwahati,Inorganic Chemistry,12564.0,https://scholar.google.com/citations?hl=en&user=I7U6Ox4AAAAJ
"Siddhartha  Sankar Ghosh,  Ghosh SS, SS Ghosh","Professor, Depart of Biosciences and Bioengineering, Indian Institute of Technology …","Gene Therapy, Cancer Biology, Nanobiology",12497.0,https://scholar.google.com/citations?hl=en&user=zJOfvfUAAAAJ
"Parameswar Krishnan Iyer; PK Iyer; Parameswar K Iyer; P Iyer; Iyer PK, Iyer Parameswar Krishnan, PKI","Department of Chemistry, Indian Institute of Technology Guwahati","Polymer, Material, Photovoltaic, Sensor, Spectroscopy",12335.0,https://scholar.google.com/citations?hl=en&user=Y2aowXAAAAAJ
Tharmalingam Punniyamurthy,"Department of Chemistry, Indian Institute of Technology Guwahati, Guwahati 781039",Organic synthesis,12034.0,https://scholar.google.com/citations?hl=en&user=alLhL0AAAAAJ
"Subhash C. Mishra, FNAE, FASME, FIE(I)","Professor, Department of Mechanical Engineering, IIT Guwahati","Heat Transfer - Radiation, Participating Medium, Porous Media Combustion, Heat Transfer through Insulation Systems, Atmospheric Radiation",11881.0,https://scholar.google.com/citations?hl=en&user=AhpalIwAAAAJ
Arun Chattopadhyay,"Department of Chemistry, Indian Institute of Technology Guwahati","Nanoscale Science, Assembly of Molecules",11381.0,https://scholar.google.com/citations?hl=en&user=Ym02t0UAAAAJ
Prof.  PK Giri,Indian institute of technology Guwahati,"Nanomaterials, Semiconductors, Graphene, 2D Materials, Optoelectronics",10356.0,https://scholar.google.com/citations?hl=en&user=UYRlnoUAAAAJ
Vimal Katiyar,"Professor, IIT Guwahati",,10081.0,https://scholar.google.com/citations?hl=en&user=hiSED3QAAAAJ
Bhisma K Patel,"Professor of Chemistry, Indian Institute of Technology Guwahati","CH activation, Catalysis, Hypervalent iodine, Green Chemistry, Heterocyclic Chemistry",9828.0,https://scholar.google.com/citations?hl=en&user=bIaYaeQAAAAJ
