Name,Affiliation,Interests,Cited By,Profile URL
Saranya Samik Ghosh,"Assistant Professor, Department of Physics, Indian Institute of Technology Hyderabad",High Energy Physics,161521.0,https://scholar.google.com/citations?hl=en&user=KwAx0voAAAAJ
Shantanu Desai,IIT Hyderabad,"cosmology, neutrino physics, GRBs, pulsars, astronomical image processing",85019.0,https://scholar.google.com/citations?hl=en&user=NSgMXewAAAAJ
Mathukumalli Vidyasagar,"SERB National Science Chair, Indian Institute of Technology Hyderabad","Machine learning, control theory, compressed sensing",47063.0,https://scholar.google.com/citations?hl=en&user=2IBz_wgAAAAJ
Giridhar Madras,"Senior Professor, Indian institute of technology, Hyderabad","Polymers, Supercritical fluids, Reaction kinetics, catalysis, nanomaterials",34874.0,https://scholar.google.com/citations?hl=en&user=PUZ8qcgAAAAJ
Anjan Giri,"Professor, IIT Hyderabad",High Energy Physics,24672.0,https://scholar.google.com/citations?hl=en&user=GcHzCWoAAAAJ
Saurabh Sandilya,"Assistant Professor at Indian Institute of Technology, Hyderabad",Experimental High Energy Physics,23611.0,https://scholar.google.com/citations?hl=en&user=_RDMgk8AAAAJ
"Prof. Ch Subrahmanyam, FRSC",IIT Hyderabad,"Energy, Environment, Sensors, Catalysis, Nanomaterials",10776.0,https://scholar.google.com/citations?hl=en&user=5bUWaokAAAAJ
Amit Kumar Singh,Indian Institute of Technology Hyderabad,"Aerial Robotics, Reinforcement Learning",10492.0,https://scholar.google.com/citations?hl=en&user=FH3GGhEAAAAJ
Narendra Kurra,"Assistant Professor, Department of Chemistry, IITH","Materials Chemistry, Energy Storage",10379.0,https://scholar.google.com/citations?hl=en&user=7-whKvAAAAAJ
GD Janaki Ram,Indian Institute of Technology Hyderabad,"Welding, Additive Manufacturing",9003.0,https://scholar.google.com/citations?hl=en&user=pcm7qy8AAAAJ
Pinaki Prasad Bhattacharjee,"Professor of Materials Science and Metallurgical Engineering, IIT Hyderabad","Thermo-mechanical Processing, Crystallographic Texture, Mechanical Behavior, High Entropy Alloys, Light Alloys",8975.0,https://scholar.google.com/citations?hl=en&user=efNQQqoAAAAJ
C Krishna Mohan,"Professor, Department of Computer Science and Engineering, IIT Hyderabad","Image/Video Content Analysis, Representation Learning, AI/ML",8891.0,https://scholar.google.com/citations?hl=en&user=GvSsuVEAAAAJ
Vinayak Eswaran,IIT Hyderabad,"Computational Fluid Dynamics, Anthropology, etc",8861.0,https://scholar.google.com/citations?hl=en&user=XREaymgAAAAJ
Narendra Sahu,"Dept of Physics, IIT Hyderabad, Yeddumailaram 502205, Medak, Telengana, India",Astroparticle physics,8553.0,https://scholar.google.com/citations?hl=en&user=L2rHfyoAAAAJ
Dr Devarai Santhosh Kumar,"Department of Chemical Engineering, IIT Hyderabad, Sangareddy, Telangana","Microbial Enzyme Production, Biosensor and Cell and Tissue Engineering",8473.0,https://scholar.google.com/citations?hl=en&user=Om2kg3YAAAAJ
Melepurath Deepa,Indian Institute of Technology Hyderabad,"Batteries, Perovskite solar cells, Supercapacitors, Electrochromic Devices",8307.0,https://scholar.google.com/citations?hl=en&user=pFFkTOkAAAAJ
Falguni Pati,"Professor of Biomedical Engineering, IIT Hyderabad","Bioprinting, Tissue Engineering, Regenerative Medicine, Tissue/Organ Models",8065.0,https://scholar.google.com/citations?hl=en&user=3IEkStoAAAAJ
Jaladhar Neelavalli,Indian Institute of Technology Hyderabad (IIT Hyderabad),,7932.0,https://scholar.google.com/citations?hl=en&user=hgfj-9cAAAAJ
