Name,Affiliation,Interests,Cited By,Profile URL
Ankhi Roy,"Associate Professor, Indian Institute of Technology Indore",Experimental High Energy Physics,91317.0,https://scholar.google.com/citations?hl=en&user=0CYqhQ4AAAAJ
Ram Bilas Pachori,"Fellow IEEE, INAE; Institute Chair Professor & Professor (HAG), IIT Indore","Signal and Image Processing, Biomedical Signal Processing, BCI, AI in Healthcare",22302.0,https://scholar.google.com/citations?hl=en&user=j3iJOWMAAAAJ
Shaikh M. Mobin,"Professor, Department of Chemistry, IIT Indore","Material Chemistry, Coordination Chemistry, Organometallics, Bio-Sensors",21964.0,https://scholar.google.com/citations?hl=en&user=_AL4b0QAAAAJ
Avinash Sonawane,Indian Institute of Technology Indore,"Infection Biology, Leukemia, Tuberculosis, Drug development, Diagnostics",21270.0,https://scholar.google.com/citations?hl=en&user=6RNh4zgAAAAJ
Sanjay Kumar Singh,Indian Institute of Technology (IIT) Indore,"Organometallics and Nanoparticle based …, Biomass Transformation, CO2 capture and utilization, Biof",13748.0,https://scholar.google.com/citations?hl=en&user=Mmcw90sAAAAJ
"M. Tanveer, IEEE CIS Distinguished Lecturer","Professor and Ramanujan Fellow, IIT Indore (Some codes are available at GitHub.)","Deep Neural Networks, Machine Learning, Support Vector Machines, Data Science, Neuroimaging",13407.0,https://scholar.google.com/citations?hl=en&user=sdu678oAAAAJ
Mohd. Farooq Azam,"Associate Professor. Indian Institute of Technology Indore, India","Glaciology, Hydrology",11138.0,https://scholar.google.com/citations?hl=en&user=EdupmHsAAAAJ
Professor Biswarup Pathak,"Institute Chair Professor, Department of Chemistry, IIT Indore",AI/ML | Nanoclusters | Batteries | Molecular …,10749.0,https://scholar.google.com/citations?hl=en&user=eMnUqcgAAAAJ
Parasharam Shirage,"Professor in MEMS, INDIAN INSTITUTE OF TECHNOLOGY INDORE","Sodium Ion Batteries and Supercapacitors, Superconductors, Solar cells and Piezoelectric Devices, Sensors( Bio- and Chemical)",10128.0,https://scholar.google.com/citations?hl=en&user=hf2x04QAAAAJ
"Manish Kumar Goyal, Chair Professor","Indian Institute of Technology Indore, Indore","Water Resources, Hydrology, Climate Change",9252.0,https://scholar.google.com/citations?hl=en&user=In-wqMEAAAAJ
Rupesh Devan,"Professor, Department of MEMS, Indian Institute of Technology","Nanostructures, Energy storage/conversion devices, Nano-hetero-architectures",9068.0,https://scholar.google.com/citations?hl=en&user=UF9U1IkAAAAJ
Vimal Bhatia,IIT Indore,"Wireless Communications, 6G, Signal Processing, Quantum Communications, Energy",7044.0,https://scholar.google.com/citations?hl=en&user=axRxFiwAAAAJ
Sandeep Chaudhary,IIT Indore,"Structural Engineering, Concrete Technology, Building Materials, Sustainable Construction Materials",6668.0,https://scholar.google.com/citations?hl=en&user=yE0bDOIAAAAJ
Murthy GS,"Professor in BSBE, Indian Institute of Technology-Indore and BEE, Oregon State University","Sustainable bioprocessing, bioprocess modeling and control, systems analyses for sustainability",6233.0,https://scholar.google.com/citations?hl=en&user=RDDboswAAAAJ
Dr.Palani IA,"Professor, Department of Mechanical Engineering,  Indian Institute of technology Indore","Smart materials and structures, micro-robotic systems, opto-mechatronics system design, Laser assisted manufacturing and surface",5994.0,https://scholar.google.com/citations?hl=en&user=nRF8hGEAAAAJ
Dr. Apurba K. Das,Indian Institute of Technology Indore,Supramolecular Organic Chemistry Group,5979.0,https://scholar.google.com/citations?hl=en&user=T4gN2YcAAAAJ
Pavan Kumar Kankar,"Professor, Department of Mechanical Engineering, IIT Indore","Fault Diagnosis, Condition Monitoring of Mechanical …, Health Monitoring of Hydraulic",5963.0,https://scholar.google.com/citations?hl=en&user=eN63O5AAAAAJ
Prof. Neelesh Kumar Jain,"Professor (HAG), Department of Mechanical Engineering, IIT Indore","Metal Additive Manufacturing, Sustainable Machining, Gear Engineering, Advanced Manufacturing",5924.0,https://scholar.google.com/citations?hl=en&user=NHW6zSQAAAAJ
Neelima Satyam,"Institute Chair Professor and Former Head, Department of Civil Engineering, IIT Indore","Landslide Hazard, Seismic Microzonation, Soil Structure Interaction, Bio-Geotechnics",5923.0,https://scholar.google.com/citations?hl=en&user=u6lns9UAAAAJ
Saptarshi Ghosh,"Associate Professor, Indian Institute of Technology Indore","Metamaterials, Microwave absorbers, Frequency Selective Surface",5812.0,https://scholar.google.com/citations?hl=en&user=3eF8NzwAAAAJ
Priyansh Singh,Indian Institute of Technology Indore,Pavement Materials,5381.0,https://scholar.google.com/citations?hl=en&user=kYN0oBMAAAAJ
Dr. Shailesh Ishwarlal Kundalwal,"Professor of Solid Mechanics, Indian Institute of Technology Indore","Micromechanics, Nanomechanics, Flexoelectricity, Composites, H2 Storage",5370.0,https://scholar.google.com/citations?hl=en&user=uBuNZcEAAAAJ
Kiran Bala,"Professor, IIT Indore","Environmental Science and Egg., Algal Biotechnology, Bioenergy, Bioremediation",5041.0,https://scholar.google.com/citations?hl=en&user=bgTbsyEAAAAJ
Ranveer Singh,Indian Institute of Technology Indore,Graphs and Matrices,4923.0,https://scholar.google.com/citations?hl=en&user=6vNK13kAAAAJ
Satyanarayan patel,Indian Institute of Technology Indore,"Lead free piezoceramics, Energy conversion and storage, Electrocaloric elastocaloric, Energy",4702.0,https://scholar.google.com/citations?hl=en&user=ZyXuyHMAAAAJ
Dr. Aruna Tiwari,"Professor of Computer Science and Engineering, IIT Indore","Artificial Intelligence, Big Data Analytics, Soft Computing, and Data Mining",4559.0,https://scholar.google.com/citations?hl=en&user=92WslkgAAAAJ
Dr. Amit Kumar,"Professor, Biosciences and Biomedical Engineering, IIT Indore","Drug Target and Discovery, Molecular Structural Biology",4537.0,https://scholar.google.com/citations?hl=en&user=owahqHQAAAAJ
"Prof. Anirban Sengupta, D-EiC @ IEEE ESL, IEEE-CS DC & DV, IEEE-CASS & CTSoc DL, ACM Eminent Speaker","Professor of CSE, Indian Institute of Technology Indore","IP Protection, High Level Synthesis, Hardware Security and Trust, Embedded Hardware",4533.0,https://scholar.google.com/citations?hl=en&user=4aHf5O8AAAAJ
Anand Parey,IIT Indore,"Condition monitoring, Gear fault diagnosis, Noise and Vibration, Signal Processing",4505.0,https://scholar.google.com/citations?hl=en&user=uU3kC4oAAAAJ
Ashisha Kumar,"Assistant Professor, Discipline of Mathematics, Indian Institute of Technology Indore, India",Harmonic Analysis,4453.0,https://scholar.google.com/citations?hl=en&user=bFKhS0YAAAAJ
Prof. PR Sagdeo,INDIAN INSTITUTE OF TECHNOLOGY INDORE,HIGHLY CORRELETED ELECTRON …,4429.0,https://scholar.google.com/citations?hl=en&user=iQNyzkkAAAAJ
Professor Hem Chandra Jha,"Mehta Family School of Biosciences and Biomedical Engineering, IIT Indore, India","Gut-Brain axis, AMR, Diagnostics, Host-Pathogens interactions",4419.0,https://scholar.google.com/citations?hl=en&user=o6ZqrQcAAAAJ
Sarika Jalan,"Complex Systems Lab, IIT Indore","Complex Systems, Bifurcation, Synchronization, Machine learning",3963.0,https://scholar.google.com/citations?hl=en&user=vlEHYwYAAAAJ
Onkar Game,"Assistant Professor, Department of Physics, Indian Institute of Technology Indore","Photovoltaics, Optoelectronics, Halide perovskites, Energy Generation, Novel Semiconductors",3960.0,https://scholar.google.com/citations?hl=en&user=827_7BAAAAAJ
Tridib Kumar Sarma,Indian Institute of Technology Indore,,3789.0,https://scholar.google.com/citations?hl=en&user=uR4QBIcAAAAJ
Somaditya Sen,INDIAN INSTITUTE OF TECHNOLOGY INDORE,"MATERIAL PHYSICS, ELECTRONICS, MAGNETISM",3786.0,https://scholar.google.com/citations?hl=en&user=r8scNioAAAAJ
Mirza Saqib Baig,"Professor, Indian Institute of Technology Indore (IITI)","Inflammation, Cancer, Drug Discovery",3740.0,https://scholar.google.com/citations?hl=en&user=bV3oePcAAAAJ
Sampak Samanta,"Professor of Chemistry, IIT Indore",Synthetic Organic Chemistry and Medicinal …,3627.0,https://scholar.google.com/citations?hl=en&user=KrdeHmMAAAAJ
Prof. Santosh Kumar Vishvakarma,Indian Institute of Technology Indore,"Memory Circuits, Compute-in-Memory, Domain Specific AI Hardware Accelerators, AI Infrastracture",3579.0,https://scholar.google.com/citations?hl=en&user=rRapODEAAAAJ
Satya S Bulusu,Indian Institute of Technology Indore,"Machine Learning, Orbital Free Density Functional Theory, Kohn Sham, Schrodinger Equation",3499.0,https://scholar.google.com/citations?hl=en&user=12hatP0AAAAJ
Shaibal Mukherjee,"Fellow JSPS, Humboldt Foundation, InstP, RSC; Professor-IIT Indore",Nanotechnology,3462.0,https://scholar.google.com/citations?hl=en&user=7dc2VIsAAAAJ
Santosh K. Sahu,"Professor, Department of Mechanical Engineering, Indian Institute of Technology Indore","Thermal hydraulics, Jet impingement, heat transfer, Thermal management, Phase change materials",3353.0,https://scholar.google.com/citations?hl=en&user=HIOfoGYAAAAJ
Mukesh Kumar,"Electrical Engineering, Indian Institute of Technology (IIT) Indore","Optoelectronic Devices, Nanophotonics, Silicon Photonics, Microfabrication",3296.0,https://scholar.google.com/citations?hl=en&user=AdhSVmkAAAAJ
Suman Mukhopadhyay,"Professor of Chemistry, Indian Institute of Technology Indore",Inorganic Chemistry,3265.0,https://scholar.google.com/citations?hl=en&user=th7cZbIAAAAJ
