Name,Affiliation,Interests,Cited By,Profile URL
Sanmay Ganguly,"Assistant Professor. Indian Institute of Technology, Kanpur","Machine learning, High Energy Physics, Quantum Computation",291993.0,https://scholar.google.com/citations?hl=en&user=FacGNwsAAAAJ
Vijay Kumar Jain,Indian Institute of Technology Kanpur India,"Micro-manufacturing, Manufacturing",39775.0,https://scholar.google.com/citations?hl=en&user=bmQ917cAAAAJ
Avinash Kumar Agarwal,Indian Institute of Technology Kanpur,"Internal Combustion Engines, Emissions, Biodiesel, Laser Ignition, HCCI",32323.0,https://scholar.google.com/citations?hl=en&user=cGOyLQsAAAAJ
Debasis Kundu,"Profess of Department of Mathematics and Statistics, IIT Kanpur","Applied Statistics, Distribution Theory, Statistical Computing, Reliability Analysis, Statistical Signal Processing",23840.0,https://scholar.google.com/citations?hl=en&user=yq8z1rIAAAAJ
Ashutosh Sharma,"Chemical Engineering, IITK, IIT Kanpur, Indian Institute of Technology Kanpur","nanotechnology, thin film, nanopatterning, adhesion, wetting",23833.0,https://scholar.google.com/citations?hl=en&user=MmjJMlIAAAAJ
Ajay Kumar,Distinguished Visiting Professor IIT Kanpur,"Economics of Information Systems, Agglomeration, Economic Geography, Business Administration",22326.0,https://scholar.google.com/citations?hl=en&user=pEYlXIEAAAAJ
Tarun Gupta,"Professor, Indian Institute of Technology Kanpur","Exposure Assessment, Source Apportionment, brown carbon, organic aerosols, aerosol chemistry",21410.0,https://scholar.google.com/citations?hl=en&user=Ze8k3S0AAAAJ
Sudip Ghosh,"DST Young Scientist, IIT-Kanpur","Semiconductor Devices, Compact Modeling, Characterization",18248.0,https://scholar.google.com/citations?hl=en&user=1zX3dR8AAAAJ
Vadapalli Chandrasekhar,"Department of Chemistry, Indian Institute of Technology, Kanpur",Chemistry,17176.0,https://scholar.google.com/citations?hl=en&user=VgfCil4AAAAJ
Anantharaj Sengeni,"Assistant Professor (CHM), IIT Kanpur","Electrochemistry, Catalysis at Electrified Interfaces, Materials",16090.0,https://scholar.google.com/citations?hl=en&user=b2mYUxwAAAAJ
