Name,Affiliation,Interests,Cited By,Profile URL
Dr. Ajay Singh,"Agricultural and Food Engineering Department, IIT Kharagpur, India","Natural Resources Management, Agricultural Water Management, Irrigation, Hydrology, Groundwater",36012.0,https://scholar.google.com/citations?hl=en&user=wg3NBd8AAAAJ
Nihar Jana,"Department of Bioscience and Biotechnology, Indian Institute of Technology, Kharagpur",Neuroscience,23899.0,https://scholar.google.com/citations?hl=en&user=Tr9AtEcAAAAJ
Mahitosh Mandal,"Professor, School of Medical Science and Technology,Indian Institute of Technology …",Cancer Biology,22509.0,https://scholar.google.com/citations?hl=en&user=kKOBFC0AAAAJ
Ramesh Garg,"Professor, E & ECE, IIT Kharagpur","Electromagnetics, antennas, microwave circuits",21854.0,https://scholar.google.com/citations?hl=en&user=AZ_2uckAAAAJ
Sudip Misra,"FACM, FIEEE, FAAIA, FNAE, FNASc, FIET, INAE Chair Professor, IIT Kharagpur","Intelligent Sensing, Wireless Sensor Networks, Internet of Things",21628.0,https://scholar.google.com/citations?hl=en&user=h33l-A8AAAAJ
Suman Chakraborty,"Professor of Mechanical Engineering, Indian Institute of Technology Kharagpur","Microfluidics and Nanofluidics, Interfacial Phenomena and Phase Change, Biomedical Engineering, Medical Diagnostics",21120.0,https://scholar.google.com/citations?hl=en&user=2RQrq70AAAAJ
ChandraSekhar Tiwary,"Metallurgical and materials engineering, Indian Institute of Technology, Kharagpur, India",Materials,21107.0,https://scholar.google.com/citations?hl=en&user=1Ji-DbkAAAAJ
Debabrata Das,"Former Professor of Biotechnology,Indian Institute of Technology Kharagpur","biohydrogen, biohythane, microbial fuel cell, microalgae, phenol",20626.0,https://scholar.google.com/citations?hl=en&user=gU6HKm4AAAAJ
solomon sudheer,Indian Institute of Technology Kharagpur,Artificial intelligence & Machine Learning,20445.0,https://scholar.google.com/citations?hl=en&user=rkzyhAcAAAAJ
Anjali Pal,"Department of Civil Engineering, Indian Institute of Technology Kharagpur - 721302, India","Adsorption, Adsolubilization, Catalysis, Advanced oxidation process, Wastewater treatment",19569.0,https://scholar.google.com/citations?hl=en&user=tRNoehAAAAAJ
Dhrubes Biswas,"Professor of Electronics, Indian Institute of Technology, Kharagpur","Semiconductor devices, health delivery",19478.0,https://scholar.google.com/citations?hl=en&user=M3iwPc4AAAAJ
Ashok Kumar Gupta,"Professor (HAG) , Dept. of Civil Engg., Ex. Head, School of Water Resources, IIT Kharagpur","Water and Wastewater treatment, Wastewater recycling and reuse, Urban Environmental Planning, Water",18913.0,https://scholar.google.com/citations?hl=en&user=TgOX6jsAAAAJ
Sirshendu De,"Professor, Department of Chemical Engineering, Indian Institute of Technology Kharagpur","Membrane Separation, Transport Phenomena",18259.0,https://scholar.google.com/citations?hl=en&user=f2XnhOMAAAAJ
DR. RAMKRISHNA SEN,"Professor & Former Head, Department of Biotechnology, IIT Kharagpur, WB 721302, India","Process Biotechnology, Biorefinery with carbon capture & waste …, Biosurfactants & Biopolymers, Algal Biofuels & Bior",16927.0,https://scholar.google.com/citations?hl=en&user=FhCZ9AsAAAAJ
Rintu Banerjee,IIT Kharagpur,"Biotechnology, Food Engineering, Downstream Processing, EVOP",16489.0,https://scholar.google.com/citations?hl=en&user=o6JC0f4AAAAJ
Kumar Biradha,"Professor of Chemistry, Indian Institute of Technology, Kharagpur","Crystal engineering, Polymorphism, Coordination polymers, Porous materials, Crystallography",15874.0,https://scholar.google.com/citations?hl=en&user=KyFhOEgAAAAJ
Dipak khastgir,"Rubber Technology Centre,Indian Institute Of Technology,Kharagpur",,15121.0,https://scholar.google.com/citations?hl=en&user=apprCiUAAAAJ
Soumya K. Ghosh,"Indian Institute of Technology Kharagpur, India","Spatial Data Science, Cloud Computing, Fog and Edge Computing, IoT",14942.0,https://scholar.google.com/citations?hl=en&user=wTtdGd4AAAAJ
Debdeep Mukhopadhyay,"Professor (FIEEE, FNA, FASc, FNAE), Dept of Computer Science and Engineering, IIT …","Side Channel Analysis, Hardware Security, Computer Architecture, Fault Tolerance, Hardware",14621.0,https://scholar.google.com/citations?hl=en&user=lfhvrhYAAAAJ
Debabrata Pradhan,"Professor, Materials Science Centre, Indian Institute of Technology Kharagpur","Materials Chemistry, Nanomaterials, Energy generation and storage",14558.0,https://scholar.google.com/citations?hl=en&user=MpTQVj0AAAAJ
Samit K Ray,"Department of Physics, IIT Kharagpur","Semiconductor, SiGe, Nanostructures, Si heterostructures",14317.0,https://scholar.google.com/citations?hl=en&user=O4WvnJ4AAAAJ
Abhijit Mukherjee,"Professor, IIT Kharagpur, India","Hydrogeology, Water policy, Gesocience, Contamination, Numerical modeling",14150.0,https://scholar.google.com/citations?hl=en&user=2W0C2EcAAAAJ
Narayan Chandra Das,"Professor, Indian Institute of Technology, Kharagpur","Polymer nanocomposites, nanomaterials, Self-healing materials, food packaging, green technology",14076.0,https://scholar.google.com/citations?hl=en&user=J7JvuU8AAAAJ
Professor HN Mishra,Indian Institute of Technology Kharagpur,Food Science & Technology,13700.0,https://scholar.google.com/citations?hl=en&user=I3Tfd5oAAAAJ
Prof. Debapriya Das,"Emeritus Professor of Electrical Engineering, Indian Institute of Technology, Kharagpur","Distribution Systems, Microgrid, Distributed Generation",13610.0,https://scholar.google.com/citations?hl=en&user=yZj2uFYAAAAJ
Pabitra Mitra,"Professor of Computer Science and Engineering, Indian Institute of Technology Kharagpur","Machine learning, pattern recognition, data mining, information retrieval",13463.0,https://scholar.google.com/citations?hl=en&user=5bXSZPYAAAAJ
Prasanta Kumar Das,Indian Institute of Technology Kharagpur,"iMultiphase flow, Heat transfer and Fluid dynamics, Thermo hydraulics of nuclear reactors, Instrumentation, CFD for multiphase f",13044.0,https://scholar.google.com/citations?hl=en&user=cHWNjfgAAAAJ
Dr. Madan Kumar Jha,"Professor(HAG) of Subsurface Hydrology, Indian Institute of Technology Kharagpur, West …","Groundwater Modeling, Integrated Water Management, Rainwater Harvesting, Artificial Recharge, Seawater Intrusion",12997.0,https://scholar.google.com/citations?hl=en&user=5cQpKxgAAAAJ
Prof. BC Meikap,"Professor , Department of Chemical Engineering, IIT Kharagpur",IIT Kharagpur,12925.0,https://scholar.google.com/citations?hl=en&user=GNM21DsAAAAJ
Suneel Kumar Srivastava,"Professor of Chemistry, Indian Institute of technology, Kharagpur, India","polymers, nanomaterials, W–Mo nanoalloy, blend",12573.0,https://scholar.google.com/citations?hl=en&user=cWzcKJoAAAAJ
Ashraf Alam,IIT Kharagpur,"Educational Technology, Mathematics Education, Teacher Education, Educational Psychology, Pedagogy",12517.0,https://scholar.google.com/citations?hl=en&user=otpzbu0AAAAJ
Rudra Prakash Pradhan,Professor at IIT-KGP,"Econometrics, Data Science and Analytics, Optimization Modelling, Quantitative Finance",12314.0,https://scholar.google.com/citations?hl=en&user=J1WUN4EAAAAJ
"SURJYA KANTA PAL (Recipient of JC Bose grant; Prof NK Roy Chair Professor) FNAE, FNASc",Dean R&D;  Professor (HAG) of Mech. Engg. IIT Kharagpur; Former Lord Kumar …,"AI/ML in Manufacturing, BCI in Manuf, Expt and Num Analyses in Manuf, Ultrafast Cooling Methods",12147.0,https://scholar.google.com/citations?hl=en&user=rj8w-HgAAAAJ
Niloy Ganguly,"Department of CSE, Indian Institute of Technology, Kharagpur","Artificial Intelligence, NLP, Network Science, Machine Learning, Social Computing",12114.0,https://scholar.google.com/citations?hl=en&user=hCbFmUUAAAAJ
Nikhil Kumar Singha,"Professor, Rubber Technology Centre, Indian Institute of Technology Kharagpur","Tailor-made specialty polymers via controlled …, Preparation of block, graft copolymers, electro-a",11810.0,https://scholar.google.com/citations?hl=en&user=-OTlvK8AAAAJ
