Name,Affiliation,Interests,Cited By,Profile URL
Prof Prafulla Kumar  Behera,"Professor of Physics, Indian Institute of Technology Madras",Experimental High Energy Physics,287728,https://scholar.google.com/citations?hl=en&user=mScZ5g4AAAAJ
Chandra Kant Mishra IITM,IIT Madras,Gravitational waves,133407,https://scholar.google.com/citations?hl=en&user=t_Vg41AAAAAJ
Mukesh Doble,"Distinguished Prof, Saveetha Dental college, Retd Prof IITM","Drug design, Biomaterials, Bioengineering",48388,https://scholar.google.com/citations?hl=en&user=Uywm3i4AAAAJ
Thalappil Pradeep,Indian Institute of Technology Madras,Molecular and nanoscale materials,47193,https://scholar.google.com/citations?hl=en&user=CKZsjjcAAAAJ
BS Murty,IIT Madras,Nano Materials,31909,https://scholar.google.com/citations?hl=en&user=2roOB5gAAAAJ
Sarit Kumar Das,"Institute Professor, IIT Madras","BioMicrofluidics, Nanofluids, Battery cooling, Multiphase flow in microsystems, Thermal hydraulics in nuclear and fuel cell …",29920,https://scholar.google.com/citations?hl=en&user=lhVJay4AAAAJ
S. Subramanian,Indian Institute of Technology Madras,Physical sicneces   Magnetic resonancne …,28562,https://scholar.google.com/citations?hl=en&user=iDTlsngAAAAJ
Balasubramanian Viswanathan,"Indian Institute of Technology, Madras",Catalysis,23225,https://scholar.google.com/citations?hl=en&user=f3U_p4QAAAAJ
M. Michael Gromiha,Indian Institute of Technology Madras,,18569,https://scholar.google.com/citations?hl=en&user=8LsqFdUAAAAJ
chandrasekharan rajendran,IIT Madras,"Production and Operations Management, Quality Management",17865,https://scholar.google.com/citations?hl=en&user=xBzpRysAAAAJ
Raghunathan Rengaswamy,"Professor of Chemical Engineering, IIT Madras",Process Systems Engineering - Fuel Cell …,16872,https://scholar.google.com/citations?hl=en&user=WOCWpzwAAAAJ
Venkatesan Subramanian,Indian Institute of Technology Madras,"Theoretical and Computational Chemistry, Biophysics of Collagen, Biomacromolecules Structure",15638,https://scholar.google.com/citations?hl=en&user=o7ttu1gAAAAJ
Ashok Kumar Mishra,"Professor of Physical Chemistry, Indian Institute of Technology-Madras","Fluorescence Spectroscopy, Excited state prototropism, Analytical Photochemistry, Chemometrics, Fiber Optics",15242,https://scholar.google.com/citations?hl=en&user=N_rqztMAAAAJ
Manu Santhanam,"Professor, IIT Madras","Cement chemistry and microstructure, concrete durability",15216,https://scholar.google.com/citations?hl=en&user=bCnS1poAAAAJ
RadhaKrishna Ganti,"Assistant Professor, IIT Madras, Chennai","Communication Systems, Cellular Networks, Stochastic geometry, Information Theory, Full-duplex radios",14851,https://scholar.google.com/citations?hl=en&user=ZKOZPcEAAAAJ
KG Pradeep,"Indian Institute of Technology Madras, Chennai","Combinatorial Alloy Design, Magnetic materials, Field ion Microscopy and Atom Probe …, Amorphous and Nanocrystalline ma",14218,https://scholar.google.com/citations?hl=en&user=oEtyMLIAAAAJ
G. Ranga Rao,"Professor of Chemistry, Indian Institute of Technology Madras","Materials Chemistry, Heterogeneous Catalysis, Solid State Electrochemistry, Energy storage and",13317,https://scholar.google.com/citations?hl=en&user=tHlEUtoAAAAJ
Reddy KS,"Professor, Department of Mechanical Engineering, IIT Madras","Solar Energy, Energy & Environment, Heat Transfer",13314,https://scholar.google.com/citations?hl=en&user=PwkbWWAAAAAJ
Rajnish Kumar,"Professor, Department of Chemical Engineering; Indian Institute of Technology Madras","CO2 Capture & Sequestration, Direct Air Capture, Gas Hydrates, Water Purification, Hydrogen Storage",13113,https://scholar.google.com/citations?hl=en&user=P21tbTMAAAAJ
Tanmay Basak,"Professor, Chemical Engineering, Indian Insttitute of Technology Madras","Computational Thermo-Fluids, Convection-Energy Flow, Convection-Bifurcation, Finite Element, Microwave-Thermal Transport",12864,https://scholar.google.com/citations?hl=en&user=eFEoz98AAAAJ
Ganapathy Krishnamurthi,Professor at IIT-Madras,medical imaging,12650,https://scholar.google.com/citations?hl=en&user=TXjlCH4AAAAJ
