Name,Affiliation,Interests,Cited By,Profile URL
Zillur Rahman,"Professor, Department of Management Studies, IIT Roorkee","Marketing, Consumer Behaviour, Services Marketing, Branding, New Technologies",27857,https://scholar.google.com/citations?hl=en&user=9nWkKXAAAAAJ
Ankit Jain,IIT Roorkee,"Optimization, Strategic Analysis",26288,https://scholar.google.com/citations?hl=en&user=jBNI1EUAAAAJ
Vimal Chandra srivastava,"Professor of Chemical Egineering, Indian Institute of Technology Roorkee, Roorkee","Separation Processes & Catalysis, Pollution Abatement, Desulfurization, CO2 Utilization & Alternative Fuels, Nanomaterials",24148,https://scholar.google.com/citations?hl=en&user=vXB9eOwAAAAJ
RP Saini,"HRED, IIT Roorkee","Small Hydro Power, Solar Energy and Other Renewable Energy …",21186,https://scholar.google.com/citations?hl=en&user=InISv4QAAAAJ
Pradeep Kumar,"Professor, Mechanical & Industrial Engineering, IIT Roorkee","Nano/Micro Machining, Industry 4.0, Business Process Reengineering & Supply …, Quality and Reliability Engineerin",20920,https://scholar.google.com/citations?hl=en&user=sJy047QAAAAJ
Mahendra Pal Sharma,"Professor ,Department of Hydro and Renewable Energy, IIT Roorkee, Uttarakhand, India","Renewable Energy, Bio energy, Water Quality Mapping, Conservation of lakes and rivers, Induction Generators",17569,https://scholar.google.com/citations?hl=en&user=P3RVZy4AAAAJ
Sanjay Kumar,"Indian Institute of Technology Roorkee, India.","Condensed Matter Physics (Theory), Physics of Graphene and its multilayers",16937,https://scholar.google.com/citations?hl=en&user=vBH2TyEAAAAJ
Dr. Surendra Kumar Mishra,"Professor (HAG), Dept. of Water Resources Development and Management, IIT Roorkee","Rainfall-runoff-sediment yield modelling, dam break analysis, water audit, EIA/EMP studies",15362,https://scholar.google.com/citations?hl=en&user=r8ps9gUAAAAJ
B. Prasad,"Professor, Department of Chemical Engineering, Indian institute of Technology Roorkee …","Biomass energy, air and water pollution",14055,https://scholar.google.com/citations?hl=en&user=o-EDdTsAAAAJ
Rajendra Goyal,"Ex. Professor of Chemistry, IIT Roorkee","Sensors, electroanalytical chemistry",13834,https://scholar.google.com/citations?hl=en&user=k7K_xFEAAAAJ
KRISHNA KUMAR GUPTA 24908014,INDIAN INSTITUTE OF  TECHNOLOGY ROORKEE,ENERGY STORAGE,13789,https://scholar.google.com/citations?hl=en&user=ZStDNXAAAAAJ
Naseem Ahmed,"Professor, Department of Chemistry, IIT Roorkee","Organic Chemistry, Biomedical",13561,https://scholar.google.com/citations?hl=en&user=ov17FrkAAAAJ
Vinod K. Shahi,"CSIR-CSMCRI ...Bhavnagar (Gujarat), Present: Department of Polymer and Process …","Water, Fuel Cell, Membrane Science and Separation …",12813,https://scholar.google.com/citations?hl=en&user=sVDvwNUAAAAJ
Ashok Kumar Singh,"Professor, Department of Chemistry, Indian Institute of Technology Roorkee","Macrocyclic synthesis, chemical sensors",12791,https://scholar.google.com/citations?hl=en&user=4i56bO4AAAAJ
Patit Paban Kundu,"Professor of Chemical Engineering, Indian Institute of Technology, Roorkee","Membrane Sc & Technology, Microbial Fuel Cell, DMFC, URFC, drug delivery",12367,https://scholar.google.com/citations?hl=en&user=0oUMSG0AAAAJ
Sharad K Jain,"Visiting Professor, Civil Engg., Indian Institute of Technology, Gandhinagar, Ex -IIT Roorkee …","Hydrology, Water resources, water governance, impact of climate change, environment",12275,https://scholar.google.com/citations?hl=en&user=269avwoAAAAJ
Debrupa Lahiri,"Professor, Metallurgical and Materials Engineering, IIT Roorkee","Biomaterials, Nano-mechanics, Composites and Nanomaterials for Structural …",11849,https://scholar.google.com/citations?hl=en&user=3dz-GbMAAAAJ
Millie Pant,"Professor, mathematics and computer, Indian Institute of Technology, Roorkee","Numerical Optimization, Evolutionary Algorithms, Swarm Intelligence Techniques",11794,https://scholar.google.com/citations?hl=en&user=VEAXM8IAAAAJ
Balasubramanian Raman,"Professor (HAG) & Head of Computer Science and Engineering, IIT Roorkee","Computer Vision, Image Processing, Artificial Intelligence, Machine Learning, Deep Learning",11704,https://scholar.google.com/citations?hl=en&user=QU2O6JMAAAAJ
Sparsh Mittal,"Associate Professor at ECE and Mehta Family School of DS&AI, IIT Roorkee","Deep learning, Computer vision, Machine learning, Computer architecture, non-volatile memory",11420,https://scholar.google.com/citations?hl=en&user=Hz44YrEAAAAJ
"Dr. KR Justin Thomas, FRSC","HAG Professor, Department of Chemistry, Indian Institute of Technology Roorkee, Roorkee …","Organic materials for electronic applications, structure property relationship in organic …, organic light-emitting diod",11327,https://scholar.google.com/citations?hl=en&user=Rrmc3gcAAAAJ
Partha Roy,Indian Institute of Technology Roorkee,"Biotechnology, Endocrinology, Pharmacology, Toxicology, Material Science",11274,https://scholar.google.com/citations?hl=en&user=7fNSHoQAAAAJ
Brajesh Kumar Kaushik,"Professor of Electronics and Communication Engg., IIT-Roorkee","Spintronics, VLSI Image processing, Interconnects, Biosensors",10757,https://scholar.google.com/citations?hl=en&user=k8ZqlzYAAAAJ
Ramesh Chandra,"Professor, Institute Instrumentation Centre, IIT Roorkee","Physics, Material Science, Thin Films, Nanomaterials",10625,https://scholar.google.com/citations?hl=en&user=VOwGOJQAAAAJ
Bhupinder Singh,"Associate Professor of Civil Engineering, Indian Institute of Technology Roorkee","Reinforced Concrete, Recycled Aggregate Concrete, Sustainable Development, Self Compacting Concrete, Structures under Earthquake and Fire",10604,https://scholar.google.com/citations?hl=en&user=uMWkJMYAAAAJ
Dr. Gopinath Packirisamy,"Professor,Department of Biosciences and Bioengineering,Indian Institute of Technology …","Biomedical nanotechnology, Drug delivery, Bioimaging, Tissue engineering",10603,https://scholar.google.com/citations?hl=en&user=AiSVvYsAAAAJ
RP Gupta,"Professor of Earth Resource Technology, IIT Roorkee",Remote Sensing,10570,https://scholar.google.com/citations?hl=en&user=hhFZxpYAAAAJ
Sushil Auluck,"National  Physical Laboratory and IIT Roorkee,Kanpur,Delhi,India","DFT, Interfaces, Ferroelectrics, Thermoelectricity, Optical properties",10529,https://scholar.google.com/citations?hl=en&user=0UTfboAAAAAJ
Kusum Deep,"Retired Emeritus Professor, Department of Mathematics, Indian Institute of Technology …","Nature Inspired Optimization Techniques, Genetic Agorithms, Particle Swarm Optimization, Soft Computing, Evolutionary Algorithms",10386,https://scholar.google.com/citations?hl=en&user=ByQN_c0AAAAJ
Yuvraj Singh Negi,"IIT Roorkee, Uttrakhand","Polymer Science, Nano Materials, Drug Delivery, Ferroelectric Liquid Crystals, Materials Science",10032,https://scholar.google.com/citations?hl=en&user=jbG3s9IAAAAJ
AA Kazmi,"Associate Professor, IIT Roorkee","Water and wastewater treatment, water quality, solid waste management, composting",9978,https://scholar.google.com/citations?hl=en&user=ZKfXrvEAAAAJ
Suraj P Harsha,"Indian Railways Chair Professor at MIED, IIT Roorkee",Vibration and Control,9798,https://scholar.google.com/citations?hl=en&user=dM_9ghIAAAAJ
Vikas Pruthi,"Professor, Department of Biotechnology, IIT Roorkee",microbial technology,9461,https://scholar.google.com/citations?hl=en&user=5Td0uvkAAAAJ
Kirtiraj K. Gaikwad,HoD & Associate Professor @ Indian Institute of Technology Roorkee (IIT Roorkee),"Packaging Technology, Food Safety",9339,https://scholar.google.com/citations?hl=en&user=4UnJxWgAAAAJ
Mannar R. Maurya,"Professor of Chemistry, IIT Roorkee","Inorganic chemistry, Catalysis",8959,https://scholar.google.com/citations?hl=en&user=t0jyjIMAAAAJ
Surendra Pal Singh,"Professor, Paper Technology, IIT Roorkee","Paper Technology, Chemical Engineering",8847,https://scholar.google.com/citations?hl=en&user=rDdXFfsAAAAJ
Dinesh Kumar,"Mechanical and Industrial engg Dept. , IIT Roorkee","supply chain management, healthcare management, reliability, maintenance engineering, financial management",8702,https://scholar.google.com/citations?hl=en&user=1o6y0YMAAAAJ
Inderdeep Singh,"Professor, Indian Institute of Technology Roorkee","Composite Materials, Manufacturing, Characterization, Natural Fiber Reinforced Composites, Green Composites",8630,https://scholar.google.com/citations?hl=en&user=-O4pphgAAAAJ
Ashish Pandey,"Bharat Singh Chair Professor, and Former Head, Dept. WRD&M, IIT Roorkee","Hydrology, Water Resources, Irrigation Management",8627,https://scholar.google.com/citations?hl=en&user=YFimKCQAAAAJ
devendra singh,indian institute of technology roorkee,spray forming modeling coating thin films,8533,https://scholar.google.com/citations?hl=en&user=7u_DSSEAAAAJ
KL Yadav,"Professor [HAG], Indian Institute of Technology Roorkee","Smart Nanomaterials, Biomaterials, Supercapacitors, Batteries",8350,https://scholar.google.com/citations?hl=en&user=piTGPrUAAAAJ
"csp ojha,chandra sp ojha, chandra shekhar ojha, CSP Ojha, Chandra shekhar prasad Ojha, CPOjha","Professor of Civil Engineering, IIT Roorkee","water resources, environmental engneering",8306,https://scholar.google.com/citations?hl=en&user=4Ij6fogAAAAJ
Apurbba Kumar Sharma,"Professor of Mechanical and Industrial Engineering, Indian Institute of Technology Roorkee","Surface Engineering, Advanced Manufacturing Processes, Microwave Materials Processing, Hybrid",8291,https://scholar.google.com/citations?hl=en&user=1jkHT0gAAAAJ
Durga Toshniwal,Indian Institute of Technology Roorkee India,"Artificial Intelligence and Machine Learning, Data Mining, Intelligent Transportation Systems, Time Series Data Mining, privacy",8131,https://scholar.google.com/citations?hl=en&user=2RfI0fkAAAAJ
Sunil Bajpai,"Department of Earth Sciences, IIT Roorkee, India","paleontology, geology, evolution, paleobiogeography",8108,https://scholar.google.com/citations?hl=en&user=I-6v6xsAAAAJ
Deepak Khare,"Professor, WRDM,IIT Roorkee","Water Res. Planning & Management, Groundwater, Urban Water, Climate Change",7842,https://scholar.google.com/citations?hl=en&user=MjGrfksAAAAJ
Dr Madhu Jain,"Professor, Department of Mathematics, Indian Institute of Technology Roorkee Roorkee","Stochastic Process, AI & Machine Learning, Queueing &  Reliability, Inventory & SCM, Soft Computing",7765,https://scholar.google.com/citations?hl=en&user=3FG971wAAAAJ
prasenjit mondal,IIT Roorkee,"… engineering (water and waste water treatment …, energy co",7762,https://scholar.google.com/citations?hl=en&user=sBIcB9gAAAAJ
Indra Vir Singh,"Professor, Indian Institute of Technology Roorkee","Fracture and Damage Mechanics, Fatigue, Mechanical Behaviour of Materials, Composites, XFEM",7650,https://scholar.google.com/citations?hl=en&user=mgZmcSkAAAAJ
Dheerendra Kumar Dwivedi,"IIT ROORKEE, INDIA, PIN: 247667","Manufacturing, Welding, Surface modification, Mechanical properties, Microstructure",7621,https://scholar.google.com/citations?hl=en&user=gpTmDd4AAAAJ
BR Gurjar,"Professor (HAG), Former Dean of Resources & Alumni Affairs, IIT Roorkee, India","Sustainable transport, Atmospheric emissions, Air Quality, Health Risk, Environmental sustainability",7584,https://scholar.google.com/citations?hl=en&user=9M9vBUEAAAAJ
PROFESSOR DAVINDER KAUR,"PROFESSOR HAG, INSTITUTE CHAIR PROFESSOR,  DEPT. OF PHYSICS, INDIAN …","Nanotechnology, Thin Films, MEMS, Sensors, Memory Devices",7459,https://scholar.google.com/citations?hl=en&user=dm-ZzwMAAAAJ
