,Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
0,Ankhi Roy,"Associate Professor, Indian Institute of Technology Indore",Experimental High Energy Physics,93077,https://scholar.google.com/citations?hl=en&user=0CYqhQ4AAAAJ,154,994,"['Luminosity determination in pp collisions at  = 8 TeV using the ATLAS detector at the LHC', 'Muon reconstruction and identification efficiency in ATLAS using the full Run 2 pp collision data set at s√= 13 TeV', 'Pileup mitigation at CMS in 13 TeV data', 'Performance of the ATLAS muon triggers in Run 2', 'ATLAS flavour-tagging algorithms for the LHC Run 2  collision dataset', 'The ALICE experiment: a journey through QCD', 'Charged-particle nuclear modification factors in PbPb and pPb collisions at  TeV', 'Multi-strange baryon production at mid-rapidity in Pb–Pb collisions at sNN= 2.76 TeV', 'Direct photon production in Pb–Pb collisions at sNN= 2.76 TeV', 'Operation of the ATLAS trigger system in Run 2']"
1,Ram Bilas Pachori,"Fellow IEEE, INAE; Institute Chair Professor & Professor (HAG), IIT Indore","Signal and Image Processing, Biomedical Signal Processing, BCI, AI in Healthcare",22350,https://scholar.google.com/citations?hl=en&user=j3iJOWMAAAAJ,81,275,"['Classification of seizure and nonseizure EEG signals using empirical mode decomposition', 'Application of deep learning techniques for detection of COVID-19 cases using chest X-ray images: A comprehensive study', 'A multivariate approach for patient specific EEG seizure detection using empirical wavelet transform', 'Classification of epileptic seizures in EEG signals based on phase space representation of intrinsic mode functions', 'A new approach to characterize epileptic seizures using analytic time-frequency flexible wavelet transform and fractal dimension', 'Application of entropy measures on intrinsic mode functions for the automated identification of focal electroencephalogram signals', 'Epileptic seizure classification in EEG signals using second-order difference plot of intrinsic mode functions', 'Cross-subject emotion recognition using flexible analytic wavelet transform from EEG signals', 'A sliding window common spatial pattern for enhancing motor imagery classification in EEG-BCI', 'Tunable-Q wavelet transform based multiscale entropy measure for automated classification of epileptic EEG signals']"
2,Shaikh M. Mobin,"Professor, Department of Chemistry, IIT Indore","Material Chemistry, Coordination Chemistry, Organometallics, Bio-Sensors",22019,https://scholar.google.com/citations?hl=en&user=_AL4b0QAAAAJ,73,436,"['Anticancer and antimicrobial metallopharmaceutical agents based on palladium, gold, and silver N-heterocyclic carbene complexes', 'Sustainable carbon-dots: recent advances in green carbon dots for sensing and bioimaging', 'A fascinating multitasking Cu-MOF/rGO hybrid for high performance supercapacitors and highly sensitive and selective electrochemical nitrite sensors', 'Biomimetic sensor for certain catecholamines employing copper (II) complex and silver nanoparticle modified glassy carbon paste electrode', 'Reversible mechanochromism and enhanced AIE in tetraphenylethene substituted phenanthroimidazoles', 'Separating Innocence and Non-Innocence of Ligands and Metals in Complexes [(L)Ru(acac)2]n (n = −1, 0, +1; L = o-Iminoquinone or o-Iminothioquinone)', 'Design and construction of a ferrocene based inclined polycatenated Co-MOF for supercapacitor and dye adsorption applications', 'Emerging Robust Heterostructure of MoS2–rGO for High-Performance Supercapacitors', 'Synthesis of imidazopyridines from the Morita–Baylis–Hillman acetates of nitroalkenes and convenient access to Alpidem and Zolpidem', 'Hydrothermally grown α-MnO2 nanorods as highly efficient low cost counter-electrode material for dye-sensitized solar cells and electrochemical sensing applications']"
3,Avinash Sonawane,Indian Institute of Technology Indore,"Infection Biology, Leukemia, Tuberculosis, Drug development, Diagnostics",21331,https://scholar.google.com/citations?hl=en&user=6RNh4zgAAAAJ,36,66,"['Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).', 'Nanoparticle vaccines against infectious diseases', 'An investigation on the antibacterial, cytotoxic, and antibiofilm efficacy of starch-stabilized silver nanoparticles', 'Mycobacterium tuberculosis protein ESAT‐6 is a potent activator of the NLRP3/ASC inflammasome', 'Topical application of zinc oxide nanoparticles reduces bacterial skin infection in mice and exhibits antibacterial activity by inducing oxidative stress response and cell\xa0…', 'Toxicity and antibacterial assessment of chitosancoated silver nanoparticles on human pathogens and macrophage cells', 'Cathelicidin is involved in the intracellular killing of mycobacteria in macrophages', 'Systematic deletion of Salmonella small RNA genes identifies CyaR, a conserved CRP‐dependent riboregulator of OmpX synthesis', 'Plant-derived natural polyphenols as potential antiviral drugs against SARS-CoV-2 via RNA‐dependent RNA polymerase (RdRp) inhibition: an in-silico analysis', 'Zinc-oxide nanoparticles exhibit genotoxic, clastogenic, cytotoxic and actin depolymerization effects by inducing oxidative stress responses in macrophages and adult mice']"
4,Sanjay Kumar Singh,Indian Institute of Technology (IIT) Indore,"Organometallics and Nanoparticle based …, Biomass Transformation, CO2 capture and utilization, Biof",13783,https://scholar.google.com/citations?hl=en&user=Mmcw90sAAAAJ,54,260,"['Effects of a high-dose 24-h infusion of tranexamic acid on death and thromboembolic events in patients with acute gastrointestinal bleeding (HALT-IT): an international\xa0…', 'Liquid‐phase chemical hydrogen storage: catalytic hydrogen generation under ambient conditions', 'Noble-metal-free bimetallic nanoparticle-catalyzed selective hydrogen generation from hydrous hydrazine for chemical hydrogen storage', 'Room-temperature hydrogen generation from hydrous hydrazine for chemical hydrogen storage', 'Complete conversion of hydrous hydrazine to hydrogen at room temperature for chemical hydrogen storage', 'Nanoemulsion gel-based topical delivery of an antifungal drug: in vitro activity and in vivo evaluation', 'Ticagrelor in patients with diabetes and stable coronary artery disease with a history of previous percutaneous coronary intervention (THEMIS-PCI): a phase 3, placebo\xa0…', 'Apixaban to prevent recurrence after cryptogenic stroke in patients with atrial cardiopathy: the ARCADIA randomized clinical trial', 'Metal catalysts for the efficient transformation of biomass‐derived HMF and furfural to value added chemicals', 'Room-temperature synthesis of bimetallic Co–Zn based zeolitic imidazolate frameworks in water for enhanced CO2 and H2 uptakes']"
5,"M. Tanveer, IEEE CIS Distinguished Lecturer","Professor and Ramanujan Fellow, IIT Indore (Some codes are available at GitHub.)","Deep Neural Networks, Machine Learning, Support Vector Machines, Data Science, Neuroimaging",13483,https://scholar.google.com/citations?hl=en&user=sdu678oAAAAJ,57,174,"['Ensemble deep learning: A review', 'Machine learning  techniques  for  the  diagnosis  of  Alzheimer’s  disease:   A  review', 'Comprehensive Review On Twin Support Vector Machines', 'Internet of Things attack detection using hybrid Deep Learning Model', 'Random vector functional link neural network based ensemble deep learning', 'EEG signal classification using universum support vector machine', 'Random vector functional link network: recent developments, applications, and future directions', ""Classification of Alzheimer's disease using ensemble of deep neural networks trained through transfer learning"", ""Diagnosis of Alzheimer's disease using universum support vector machine based recursive feature elimination (USVM-RFE)"", 'Deep Learning for Brain Age Estimation: A Systematic Review']"
6,Mohd. Farooq Azam,"Associate Professor. Indian Institute of Technology Indore, India","Glaciology, Hydrology",11185,https://scholar.google.com/citations?hl=en&user=EdupmHsAAAAJ,26,46,"['Climate change 2021: the physical science basis', 'A massive rock and ice avalanche caused the 2021 disaster at Chamoli, Indian Himalaya', 'Status and change of the cryosphere in the extended Hindu Kush Himalaya region', 'Review of the status and mass changes of Himalayan-Karakoram glaciers', 'Glaciohydrology of the himalaya-karakoram', 'From balance to imbalance: a shift in the dynamic behaviour of Chhota Shigri glacier, western Himalaya, India', 'Modelling glacier-bed overdeepenings and possible future lakes for the glaciers in the Himalaya–Karakoram region', 'Processes governing the mass balance of Chhota Shigri Glacier (western Himalaya, India) assessed by point-scale surface energy balance measurements', 'Balanced conditions or slight mass gain of glaciers in the Lahaul and Spiti region (northern India, Himalaya) during the nineties preceded recent mass loss', 'Reconstruction of the annual mass balance of Chhota Shigri glacier, Western Himalaya, India, since 1969']"
7,Professor Biswarup Pathak,"Institute Chair Professor, Department of Chemistry, IIT Indore",AI/ML | Nanoclusters | Batteries | Molecular …,10798,https://scholar.google.com/citations?hl=en&user=eMnUqcgAAAAJ,53,252,"['High-energy-density dual-ion battery for stationary storage of electricity using concentrated potassium fluorosulfonylimide', 'Transverse conductance of DNA nucleotides in a graphene nanogap from first principles', 'Recent advances in graphene-like 2D materials for spintronics applications', 'Guest-induced ultrasensitive detection of multiple toxic organics and Fe3+ ions in a strategically designed and regenerative smart fluorescent metal–organic framework', 'Graphene-like carbon–nitride monolayer: a potential anode material for Na-and K-ion batteries', 'The staging mechanism of AlCl4 intercalation in a graphite electrode for an aluminium-ion battery', 'Hexagonal planar CdS monolayer sheet for visible light photocatalysis', 'Graphene oxide as a chemically tunable 2-D material for visible-light photocatalyst applications', 'B–N@ Graphene: highly sensitive and selective gas sensor', 'Direct vs. indirect pathway for nitrobenzene reduction reaction on a Ni catalyst surface: a density functional study']"
8,Parasharam Shirage,"Professor in MEMS, INDIAN INSTITUTE OF TECHNOLOGY INDORE","Sodium Ion Batteries and Supercapacitors, Superconductors, Solar cells and Piezoelectric Devices, Sensors( Bio- and Chemical)",10177,https://scholar.google.com/citations?hl=en&user=hf2x04QAAAAJ,58,190,"['A review on synergy of transition metal oxide nanostructured materials: Effective and coherent choice for supercapacitor electrodes', 'Electronic structure calculation by first principles for strongly correlated electron systems', 'Possible Multiple Gap Superconductivity with Line Nodes in Heavily Hole-Doped Superconductor KFe2As2 Studied by 75As Nuclear Quadrupole Resonance and Specific Heat', '75As-NQR/NMR Studies on Oxygen-Deficient Iron-Based Oxypnictide Superconductors LaFeAsO1-y ( y = 0, 0.25, 0.4) and NdFeAsO0.6', 'A flexible self-poled piezoelectric nanogenerator based on a rGO–Ag/PVDF nanocomposite', 'A brief review of Bi2Se3 based topological insulator: From fundamentals to applications', 'Search for origin of room temperature ferromagnetism properties in Ni-doped ZnO nanostructure', 'Titanium nitride (TiN) as a promising alternative to plasmonic metals: a comprehensive review of synthesis and applications', 'Strong-coupling Spin-singlet Superconductivity with Multiple Full Gaps in Hole-doped Ba0.6K0.4Fe2As2 Probed by Fe-NMR', '75As NMR Study of Hole-Doped Superconductor Ba1-xKxFe2As2 (Tc≃38 K)']"
9,"Manish Kumar Goyal, Chair Professor","Indian Institute of Technology Indore, Indore","Water Resources, Hydrology, Climate Change",9291,https://scholar.google.com/citations?hl=en&user=In-wqMEAAAAJ,57,155,"['Modeling of daily pan evaporation in sub tropical climates using ANN, LS-SVR, Fuzzy Logic, and ANFIS', 'A novel framework for risk assessment and resilience of critical infrastructure towards climate change', 'Drought occurrence in different river basins of India and blockchain technology based framework for disaster management', 'Air quality modelling using long short-term memory (LSTM) over NCT-Delhi, India', 'Glacial Lake Outburst Flood (GLOF) Hazard, Downstream Impact, and Risk over the Indian Himalayas', 'Enhancing climate resilience in businesses: the role of artificial intelligence', 'Non-stationary and copula-based approach to assess the drought characteristics encompassing climate indices over the Himalayan states in India', 'Copula based analysis of meteorological, hydrological and agricultural drought characteristics across Indian river basins', 'Impact of climate change on water resources in India', 'Terrestrial ecosystem response to flash droughts over India']"
