Interest,Aliases,vector_id
(s)tem-imaging,STI,interest_0
2-dimensional materials,"2DM, Advanced Materials, Materials Science",interest_1
2d materials,"2M, Advanced Materials, Materials Science",interest_2
2d-polymers,2P,interest_3
3d animation compression,3AC,interest_4
3d bioprinting,"3B, Biomedical Engineering, Biotechnology",interest_5
3d computer vision,"3CV, 3D Perception, 3D Scene Reconstruction, 3D Vision, Image Analysis, Point Clouds, Stereo Vision, Visual Recognition",interest_6
3d ic,3I,interest_7
3d ics,3I,interest_8
3d organoids & on-chip models,3OOCM,interest_9
3d printed microfluidics for anti-cancer drugs,3PMACD,interest_10
3d printing for osteo-skeletal,3POS,interest_11
3d shape analysis,"3D Geometric Modeling, 3D Mesh Processing, 3SA, Point Cloud Analysis, Shape Descriptors",interest_12
5g,"5g Research, 5g Technology",interest_13
5g and beyond,"5B, 5G Communications, 6G Networks, B5G, Next-Gen Wireless",interest_14
5g/6g,56,interest_15
6g,"6G Wireless, Next-Gen Networks, Terahertz Communications",interest_16
6g networks,"6N, Telecommunications, Wireless Systems",interest_17
absorbers,"absorbers Research, absorbers Technology",interest_18
absorption,"absorption Research, absorption Technology",interest_19
accretion physics,AP,interest_20
acoustics,"acoustics Research, acoustics Technology",interest_21
acoustics and ultrasonics,AU,interest_22
active control,"AC, Autonomous Systems, Robotics & Automation",interest_23
active fluids,AF,interest_24
active magnetic bearings,AMB,interest_25
active soft matter,ASM,interest_26
adaptive video streaming,AVS,interest_27
additive manufacturing,"3D Printing, AM, Direct Energy Deposition, Laser Powder Bed Fusion, Rapid Prototyping",interest_28
additive manufacturing and machining,AMM,interest_29
adhesion,"adhesion Research, adhesion Technology",interest_30
adsolubilization,"adsolubilization Research, adsolubilization Technology",interest_31
adsorption,"adsorption Research, adsorption Technology",interest_32
advanced casting,AC,interest_33
advanced control,"AC, Autonomous Systems, Robotics & Automation",interest_34
advanced diesel combustion modes,ADCM,interest_35
advanced manufacturing,AM,interest_36
advanced manufacturing processes,AMP,interest_37
advanced nanomaterials,"AN, Advanced Materials, Materials Science, Nanoscale Science, Nanotechnology",interest_38
advanced oxidation process,AOP,interest_39
advanced oxidation processes,AOP,interest_40
advanced steel design,ASD,interest_41
aerated concrete,AC,interest_42
aerial robotics,"AR, Autonomous Systems, Robotics & Automation",interest_43
aerodynamics,"aerodynamics Research, aerodynamics Technology",interest_44
aerogels,"aerogels Research, aerogels Technology",interest_45
aerosol,"aerosol Research, aerosol Technology",interest_46
aerosol chemistry,AC,interest_47
aerosol's role in regional climate change,ASRRCC,interest_48
aerospace structures,AS,interest_49
aerothermodynamics,"aerothermodynamics Research, aerothermodynamics Technology",interest_50
affective computing,AC,interest_51
affordable healthcare technologies,AHT,interest_52
afterglow phosphor,AP,interest_53
agglomeration,"agglomeration Research, agglomeration Technology",interest_54
agi,"agi Research, agi Technology",interest_55
aging,"aging Research, aging Technology",interest_56
agn,"agn Research, agn Technology",interest_57
agricultural adaptations to climate change,AACC,interest_58
agricultural economics,AE,interest_59
agricultural transformation,AT,interest_60
agricultural water management,AWM,interest_61
agriculture economics,AE,interest_62
agro-geoinformatics,AG,interest_63
agronomy,"agronomy Research, agronomy Technology",interest_64
