Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
Dipanjan Roy,Department of Bioscience and Bioengineering IIT Jodhpur,"Cognitive Neuroscience, Computational Neuroscience, Machine learning, Aging, EEG-fMRI",23964,https://scholar.google.com/citations?hl=en&user=9Z9gTzEAAAAJ,24,43,"['The ATLAS experiment at the CERN large hadron collider', 'Charged-particle multiplicities in pp\xa0interactions measured with the ATLAS detector at the LHC', 'Charged-particle multiplicities in pp interactions at root s=900 GeV measured with the ATLAS detector at the LHC ATLAS Collaboration', 'Atypical flexibility in dynamic functional connectivity quantifies the severity in autism spectrum disorder', 'The role of alpha-rhythm states in perceptual learning: insights from experiments and computational models', 'Metastability in senescence', 'Aperiodic and periodic components of ongoing oscillatory brain dynamics link distinct functional aspects of cognition across adult lifespan', 'Whole-brain network models: from physics to bedside', 'Integrative analysis of hippocampus gene expression profiles identifies network alterations in aging and Alzheimer’s disease', 'Generalized Lorenz models and their routes to chaos. I. Energy-conserving vertical mode truncations']"
Richa Singh,"Professor, IIT Jodhpur","Biometrics, Pattern Recognition, Machine Learning, Face Recognition, Deep Learning",17791,https://scholar.google.com/citations?hl=en&user=okqK5UAAAAAJ,74,285,"['A robust skin color based face detection algorithm', 'Improving iris recognition performance using segmentation, quality enhancement, match score fusion, and indexing', 'Computationally efficient face spoofing detection with motion magnification', 'A comprehensive overview of biometric fusion', 'Unravelling robustness of deep learning based face recognition against adversarial attacks', 'Integrated multilevel image fusion and match score fusion of visible and infrared face images for robust face recognition', 'Plastic surgery: A new dimension to face recognition', 'LivDet iris 2017—Iris liveness detection competition 2017', 'Periocular biometrics: When iris recognition fails', 'Deep dictionary learning']"
Mayank Vatsa,"Professor, IIT Jodhpur","biometrics, image processing, deep learning, machine learning, computer vision",17300,https://scholar.google.com/citations?hl=en&user=-DAxp-cAAAAJ,74,278,"['A robust skin color based face detection algorithm', 'Improving iris recognition performance using segmentation, quality enhancement, match score fusion, and indexing', 'Computationally efficient face spoofing detection with motion magnification', 'Unravelling robustness of deep learning based face recognition against adversarial attacks', 'Integrated multilevel image fusion and match score fusion of visible and infrared face images for robust face recognition', 'Plastic surgery: A new dimension to face recognition', 'LivDet iris 2017—Iris liveness detection competition 2017', 'Periocular biometrics: When iris recognition fails', 'Deep dictionary learning', 'Unraveling the effect of textured contact lenses on iris recognition']"
Mahesh KUMAR,"Professor, Indian Institute of Technology Jodhpur","2D Materials, Sensors, Memristor, Semiconductor Devices",10793,https://scholar.google.com/citations?hl=en&user=JeH1UkAAAAAJ,50,167,"['Enhanced sensing performance of ZnO nanostructures-based gas sensors: A review', 'UV-Activated MoS2 Based Fast and Reversible NO2 Sensor at Room Temperature', 'Room-Temperature Gas Sensors Under Photoactivation: From Metal Oxides to 2D Materials', 'Ultrahigh performance of self-powered β-Ga2O3 thin film solar-blind photodetector grown on cost-effective Si substrate using high-temperature seed layer', 'Metal oxide semiconductors for gas sensing', 'Conducting polymer-based nanostructures for gas sensors', 'MoS2‐Based Nanomaterials for Room‐Temperature Gas Sensors', 'Gas Sensing Performance of 2D Nanomaterials/Metal Oxide Nanocomposites: A Review', 'Transition metal dichalcogenides-based flexible gas sensors', 'Photoactivated Mixed In-Plane and Edge-Enriched p-Type MoS2 Flake-Based NO2 Sensor Working at Room Temperature']"
Ajay Agarwal,"Professor of Electrical Engineering, IIT Jodhpur","Micro Nano Technologies, Sensors, MEMS and Micro-Fluidics, Medical Technologies",9108,https://scholar.google.com/citations?hl=en&user=XUwFhB8AAAAJ,42,124,"['High-performance fully depleted silicon nanowire (diameter/spl les/5 nm) gate-all-around CMOS devices', 'Prediction of endometriosis with serum and peritoneal fluid markers: a prospective controlled trial', 'Silicon nanowire arrays for ultrasensitive label-free detection of DNA', 'DNA sensing by silicon nanowire: charge layer distance dependence', 'Label-free direct detection of MiRNAs with silicon nanowire biosensors', 'Label-free electrical detection of cardiac biomarker with complementary metal-oxide semiconductor-compatible silicon nanowire sensor arrays', 'Si, SiGe nanowire devices by top–down technology and their applications', 'Ultra-narrow silicon nanowire gate-all-around CMOS devices: Impact of diameter, channel-orientation and low temperature on device performance', 'Electrochemical sensing and remediation of 4-nitrophenol using bio-synthesized copper oxide nanoparticles', 'Highly sensitive measurements of PNA-DNA hybridization using oxide-etched silicon nanowire biosensors']"
Ambesh Dixit,"Professor, Department of Physics, Indian Institute of Technology Jodhpur","Functional Material- Nitride & Oxide …, Oxide multiferroics, Energy materials for",6995,https://scholar.google.com/citations?hl=en&user=sMI3z5wAAAAJ,44,163,"['Structural characterization of polycrystalline thin films by X-ray diffraction techniques', 'A review on quantum dot sensitized solar cells: Past, present and future towards carrier multiplication with a possibility for higher efficiency', 'Structural, magnetic, and electrical studies on polycrystalline transition-metal-doped BiFeO3  thin films', 'Charge transfer and electronic transitions in polycrystalline', 'Microbial fuel cell powered by lipid extracted algae: a promising system for algal lipids and power generation', 'Theoretical studies of single and tandem Cu2ZnSn (S/Se) 4 junction solar cells for enhanced efficiency', 'Defect engineered MoSSe Janus monolayer as a promising two dimensional material for NO2 and NO gas sensing', 'Rare‐earth doped iron oxide nanostructures for cancer theranostics: magnetic hyperthermia and magnetic resonance imaging', 'Microwave-absorbing materials for stealth application: a holistic overview', 'Aluminum–air batteries: current advances and promises with future directions']"
Kumud Tripathi,"Ramalingaswami Faculty, CETSD, IIT Jodhpur","Green hydrogen, CCUS, Environmental remediation, Biosensors, Nano carbons",6637,https://scholar.google.com/citations?hl=en&user=h7DkgvsAAAAJ,47,89,"['Green synthesis of carbon quantum dots from lemon peel waste: applications in sensing and photocatalysis', 'Biomass-derived carbon quantum dots for visible-light-induced photocatalysis and label-free detection of Fe (III) and ascorbic acid', 'Recent progress in micro-scale energy storage devices and future aspects', 'Synthesis and characterization of magnetic biochar adsorbents for the removal of Cr (VI) and Acid orange 7 dye from aqueous solution', 'Recent advances in engineered graphene and composites for detection of volatile organic compounds (VOCs) and non-invasive diseases diagnosis', 'Visible-light photocatalysis by carbon-nano-onion-functionalized ZnO tetrapods: degradation of 2, 4-dinitrophenol and a plant-model-based ecological assessment', 'N, S, and P-co-doped carbon quantum dots: intrinsic peroxidase activity in a wide pH range and its antibacterial applications', 'Graphene-based aerogels derived from biomass for energy storage and environmental remediation', 'Green fluorescent onion-like carbon nanoparticles from flaxseed oil for visible light induced photocatalytic applications and label-free detection of Al (III) ions', 'Effective removal of copper ions from aqueous solution using base treated black tea waste']"
Indranil Banerjee,"Fellow of Royal Society of Chemistry, Associate Professor, Indian Institute of Technology …","Tissue engineering, Regenerative medicine, Biomaterials, Theranostic systems, Biomicrofluidics",5757,https://scholar.google.com/citations?hl=en&user=W1nMmL0AAAAJ,45,88,"['Calcium alginate-carboxymethyl cellulose beads for colon-targeted drug delivery', 'Mesoporous silica nanoparticle based enzyme responsive system for colon specific drug delivery through guar gum capping', 'Guar gum and sesame oil based novel bigels for controlled drug delivery', 'Stearic acid based oleogels: A study on the molecular, thermal and mechanical properties', 'Preparation and characterization of novel carbopol based bigels for topical delivery of metronidazole for the treatment of bacterial vaginosis', 'Cobalt doped proangiogenic hydroxyapatite for bone tissue engineering application', 'Organogels as matrices for controlled drug delivery: a review on the current state', 'Stearate organogel–gelatin hydrogel based bigels: Physicochemical, thermal, mechanical characterizations and in vitro drug delivery applications', 'Gelatin/Carboxymethyl chitosan based scaffolds for dermal tissue engineering applications', 'Chemical synthesis, characterization, and biocompatibility study of hydroxyapatite/chitosan phosphate nanocomposite for bone tissue engineering applications']"
Subhashish Banerjee,"Indian Institute of Technology Jodhpur, India","Open quantum systems, quantum information, quantum field theory, qu thermodynamics, quantum optics",4901,https://scholar.google.com/citations?hl=en&user=UU9KftAAAAAJ,42,121,"['Thermodynamics of non-Markovian reservoirs and heat engines', 'Squeezed generalized amplitude damping channel', 'Open Quantum Systems: Dynamics of Nonclassical Evolution', 'A quantum-information theoretic analysis of three-flavor neutrino oscillations: Quantum entanglement, nonlocal and nonclassical features of neutrinos', 'Relationship between quantum walks and relativistic quantum mechanics', 'Quantum correlations in terms of neutrino oscillation probabilities', 'Controlled bidirectional remote state preparation in noisy environment: a generalized view', 'Non-Markovian evolution: a quantum walk perspective', 'Symmetries and noise in quantum walk', 'Leggett-Garg inequality in the context of three flavor neutrino oscillation']"
Ankur Gupta,"Associate Professor, Indian Institute of Technology Jodhpur","Microsystems, Manufacturing, Nanotechnology, Sensor",4576,https://scholar.google.com/citations?hl=en&user=zlYdevcAAAAJ,37,123,"['Facile synthesis of ZnO/GO nanoflowers over Si substrate for improved photocatalytic decolorization of MB dye and industrial wastewater under solar irradiation', 'Effect of welding parameters on the weldability of material', 'Si-based MEMS resonant sensor: A review from microfabrication perspective', 'Solar light based degradation of organic pollutants using ZnO nanobrushes for water filtration', 'Room temperature hydrogen sensing with Polyaniline/SnO2/Pd Nanocomposites', 'Multiplexed gas sensor: fabrication strategies, recent progress, and challenges', 'Study on microstructural characterization, mechanical properties and residual stress of gtaw dissimilar joints of p91 and p22 steels', 'Review on pressure sensors: a perspective from mechanical to micro-electro-mechanical systems', 'Dissimilar joining of the martensitic grade P91 and Incoloy 800HT alloy for AUSC boiler application: Microstructure, Mechanical Properties and Residual Stresses', 'Highly sensitive, ambient temperature CO sensor using tin oxide based composites']"
