,Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
0,Sanmay Ganguly,"Assistant Professor. Indian Institute of Technology, Kanpur","Machine learning, High Energy Physics, Quantum Computation",295327,https://scholar.google.com/citations?hl=en&user=FacGNwsAAAAJ,259,1316,"['Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC', 'Improved luminosity determination in pp collisions at sqrt (s)= 7 TeV using the ATLAS detector at the LHC', 'Particle-flow reconstruction and global event description with the CMS detector', 'Performance of the ATLAS trigger system in 2015', 'Event generator tunes obtained from underlying event and multiparton scattering measurements', 'Description and performance of track and primary-vertex reconstruction with the CMS tracker', 'Combined Measurement of the Higgs Boson Mass in  Collisions at  and 8 TeV with the ATLAS and CMS Experiments', 'Observation of a new boson with mass near 125 GeV in pp collisions at  and 8 TeV', 'Jet energy scale and resolution in the CMS experiment in pp collisions at 8 TeV', 'Electron efficiency measurements with the ATLAS detector using 2012 LHC proton–proton collision data']"
1,Vijay Kumar Jain,Indian Institute of Technology Kanpur India,"Micro-manufacturing, Manufacturing",39876,https://scholar.google.com/citations?hl=en&user=bmQ917cAAAAJ,100,692,"['Advanced machining processes', 'High-accuracy analog measurements via interpolated FFT', 'Design and development of the magnetorheological abrasive flow finishing (MRAFF) process', 'Markov random field for tumor detection in digital mammography', 'Thermal stresses due to electrical discharge machining', 'Experimental investigations into abrasive flow machining (AFM)', 'Modeling of material removal and surface roughness in abrasive flow machining process', 'COVID-19 and applications of smartphone technology in the current pandemic', 'ARIMA forecasting of ambient air pollutants (O3, NO, NO2 and CO)', 'Magnetic field assisted abrasive based micro-/nano-finishing']"
2,Avinash Kumar Agarwal,Indian Institute of Technology Kanpur,"Internal Combustion Engines, Emissions, Biodiesel, Laser Ignition, HCCI",32411,https://scholar.google.com/citations?hl=en&user=cGOyLQsAAAAJ,78,374,"['Biofuels (alcohols and biodiesel) applications as fuels for internal combustion engines', 'IJER editorial: The future of the internal combustion engine', 'Biodiesel development and characterization for use as a fuel in compression ignition engines', 'Performance and emissions characteristics of Jatropha oil (preheated and blends) in a direct injection compression ignition engine', 'Experimental investigations of performance and emissions of Karanja oil and its blends in a single cylinder agricultural diesel engine', 'Effect of fuel injection timing and pressure on combustion, emissions and performance characteristics of a single cylinder diesel engine', 'Evolution, challenges and path forward for low temperature combustion engines', 'Effect of Exhaust Gas Recirculation (EGR) on performance, emissions, deposits and durability of a constant speed compression ignition engine', 'Performance evaluation of a vegetable oil fuelled compression ignition engine', 'Biodiesel development from rice bran oil: Transesterification process optimization and fuel characterization']"
3,Debasis Kundu,"Profess of Department of Mathematics and Statistics, IIT Kanpur","Applied Statistics, Distribution Theory, Statistical Computing, Reliability Analysis, Statistical Signal Processing",23903,https://scholar.google.com/citations?hl=en&user=yq8z1rIAAAAJ,70,267,"['Theory & methods: Generalized exponential distributions', 'Exponentiated exponential family: an alternative to gamma and Weibull distributions', 'Generalized exponential distribution: different method of estimations', 'A new method for generating distributions with an application to exponential distribution', 'Analysis of Type-II progressively hybrid censored data', 'Generalized Rayleigh distribution: different methods of estimations', 'Generalized exponential distribution: Existing results and some recent developments', 'Exact likelihood inference based on Type-I and Type-II hybrid censored samples from the exponential distribution', 'Estimation of P [Y< X] for Weibull distributions', 'Bayesian inference and life testing plan for the Weibull distribution in presence of progressive censoring']"
4,Ashutosh Sharma,"Chemical Engineering, IITK, IIT Kanpur, Indian Institute of Technology Kanpur","nanotechnology, thin film, nanopatterning, adhesion, wetting",23869,https://scholar.google.com/citations?hl=en&user=MmjJMlIAAAAJ,85,344,"['Pattern formation in unstable thin liquid films', 'Instability of thin polymer films on coated substrates: rupture, dewetting, and drop formation', 'Relationship of thin film stability and morphology to macroscopic parameters of wetting in the apolar and polar systems', 'Two-phase electrohydrodynamic simulations using a volume-of-fluid approach', 'Instability and morphology of thin liquid films on chemically heterogeneous substrates', 'Thin film instability induced by long-range forces', 'Recent advances in the synthesis and application of photocatalytic metal–metal oxide core–shell nanoparticles for environmental remediation and their recycling process', 'Electric field induced instability and pattern formation in thin liquid films', 'Comparative study of removal of volatile organic compounds by cryogenic condensation and adsorption by activated carbon fiber', 'Meniscus instability in a thin elastic film']"
5,Ajay Kumar,Distinguished Visiting Professor IIT Kanpur,"Economics of Information Systems, Agglomeration, Economic Geography, Business Administration",22387,https://scholar.google.com/citations?hl=en&user=pEYlXIEAAAAJ,33,202,"['Guidelines for the use and interpretation of assays for monitoring autophagy', 'Aspirin and extended-release dipyridamole versus clopidogrel for recurrent stroke', 'Efficacy and safety of minimally invasive surgery with thrombolysis in intracerebral haemorrhage evacuation (MISTIE III): a randomised, controlled, open-label, blinded endpoint\xa0…', 'The potential application of endophytes in management of stress from drought and salinity in crop plants', 'Phytochemistry, pharmacological activities and uses of traditional medicinal plant Kaempferia galanga L.–An overview', 'Differential expression of three members of the AMT1 gene family encoding putative high‐affinity NH4+ transporters in roots of Oryza sativa subspecies indica', 'Assessing the impacts of climate change on land productivity in Indian crop agriculture: An evidence from panel data analysis', 'Prevalence of Arcobacter spp. in Humans, Animals and Foods of Animal Origin Including Sea Food from India', 'Sustainable telecentres? Two cases from India', 'Activity and kinetic characteristics of glutathione reductase in vitro in reverse micellar waterpool']"
6,Tarun Gupta,"Professor, Indian Institute of Technology Kanpur","Exposure Assessment, Source Apportionment, brown carbon, organic aerosols, aerosol chemistry",21476,https://scholar.google.com/citations?hl=en&user=Ze8k3S0AAAAJ,54,175,"['Global burden of 87 risk factors in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019', 'Estimates of the global, regional, and national morbidity, mortality, and aetiologies of lower respiratory infections in 195 countries, 1990–2016: a systematic analysis for the\xa0…', 'Nations within a nation: variations in epidemiological transition across the states of India, 1990–2016 in the Global Burden of Disease Study', 'The impact of air pollution on deaths, disease burden, and life expectancy across the states of India: the Global Burden of Disease Study 2017', 'Measuring performance on the Healthcare Access and Quality Index for 195 countries and territories and selected subnational locations: a systematic analysis from the Global\xa0…', 'Spatial, temporal, and demographic patterns in prevalence of smoking tobacco use and attributable disease burden in 204 countries and territories, 1990–2019: a systematic\xa0…', 'Health and economic impact of air pollution in the states of India: the Global Burden of Disease Study 2019', 'The burden of chronic respiratory diseases and their heterogeneity across the states of India: the Global Burden of Disease Study 1990–2016', 'Variability of outdoor fine particulate (PM2. 5) concentration in the Indian Subcontinent: A remote sensing approach', 'Chemical characterization and source apportionment of submicron (PM1) aerosol in Kanpur region, India']"
7,Sudip Ghosh,"DST Young Scientist, IIT-Kanpur","Semiconductor Devices, Compact Modeling, Characterization",18305,https://scholar.google.com/citations?hl=en&user=1zX3dR8AAAAJ,59,310,"['Signal transduction through NF-κB', 'T-cell accumulation and regulated on activation, normal T cell expressed and secreted upregulation in adipose tissue in obesity', 'Deforestation: causes, effects and control strategies', 'Elliptic flow of identified hadrons in Pb-Pb collisions at  TeV', 'Measurement of angular parameters from the decay B0→ K⁎ 0μ+ μ− in proton–proton collisions at s= 8TeV', 'High‐resolution manometry predicts the success of oesophageal bolus transport and identifies clinically important abnormalities not detected by conventional manometry', 'Differential studies of inclusive J/ψ and ψ(2S) production at forward rapidity in Pb-Pb collisions at  TeV', 'Integrative genomics reveals novel molecular pathways and gene networks for coronary artery disease', 'On the entanglement entropy for gauge theories', 'Suppression of Upsilon (1S), Upsilon (2S) and Upsilon (3S) production in PbPb collisions at sqrt (s [NN])= 2.76 TeV']"
8,Vadapalli Chandrasekhar,"Department of Chemistry, Indian Institute of Technology, Kanpur",Chemistry,17200,https://scholar.google.com/citations?hl=en&user=VgfCil4AAAAJ,71,347,"['Organotin assemblies containing Sn\ue5f8 O bonds', 'Recent developments in the synthesis and structure of organosilanols', 'Discrete silanetriols: building blocks for three-dimensional metallasiloxanes', 'Molecular metal phosphonates', 'Linear Trinuclear Mixed-Metal CoII−GdIII−CoII Single-Molecule Magnet:\u2009 [L2Co2Gd][NO3]·2CHCl3 (LH3 = (S)P[N(Me)NCH−C6H3-2-OH-3-OMe]3)', 'Trinuclear Heterobimetallic Ni2Ln complexes [L2Ni2Ln][ClO4](Ln= La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, and Er; LH3=(S) P [N (Me) N\ue5fb CH− C6H3-2-OH-3-OMe] 3): From Simple\xa0…', 'Cyclophosphazene-based multi-site coordination ligands', 'Inorganic and organometallic polymers', 'Synthesis, Structure, and Magnetism of Heterobimetallic Trinuclear Complexes {[L2Co2Ln][X]} [Ln = Eu, X = Cl; Ln = Tb, Dy, Ho, X = NO3; LH3 = (S)P[N(Me)N\ue5fbCH−C6H3-2\xa0…', 'Stable cyclic (alkyl)(amino) carbene (cAAC) radicals with main group substituents']"
9,Anantharaj Sengeni,"Assistant Professor (CHM), IIT Kanpur","Electrochemistry, Catalysis at Electrified Interfaces, Materials",16157,https://scholar.google.com/citations?hl=en&user=b2mYUxwAAAAJ,53,99,"['Recent trends and perspectives in electrochemical water splitting with an emphasis on sulfide, selenide, and phosphide catalysts of Fe, Co, and Ni: a review', 'Precision and correctness in the evaluation of electrocatalytic water splitting: revisiting activity parameters with a critical assessment', '“The Fe Effect”: A review unveiling the critical roles of Fe in enhancing OER activity of Ni and Co based catalysts', 'Amorphous catalysts and electrochemical water splitting: an untold story of harmony', 'The pitfalls of using potentiodynamic polarization curves for tafel analysis in electrocatalytic water splitting', 'Strategies and perspectives to catch the missing pieces in energy‐efficient hydrogen evolution reaction in alkaline media', 'Do the evaluation parameters reflect intrinsic activity of electrocatalysts in electrochemical water splitting?', 'The significance of properly reporting turnover frequency in electrocatalysis research', 'Evolution of layered double hydroxides (LDH) as high performance water oxidation electrocatalysts: A review with insights on structure, activity and mechanism', 'Developments and perspectives in 3D transition‐metal‐based electrocatalysts for neutral and near‐neutral water electrolysis']"
