Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
Dr. Ajay Singh,"Agricultural and Food Engineering Department, IIT Kharagpur, India","Natural Resources Management, Agricultural Water Management, Irrigation, Hydrology, Groundwater",36092,https://scholar.google.com/citations?hl=en&user=wg3NBd8AAAAJ,80,875,"['Soil salinization management for sustainable development: A review', 'Soil salinity: A global threat to sustainable development', 'Soil salinization and waterlogging: A threat to environment and agricultural sustainability', 'Nitrogen mineralization dynamics of different valuable organic amendments commonly used in agriculture', 'An overview of the optimization modelling applications', 'A review of wastewater irrigation: Environmental implications', 'Accelerated biodegradation of petroleum hydrocarbon waste', 'Remote sensing and GIS applications for municipal waste management.', 'Conjunctive use of water resources for sustainable irrigated agriculture', 'Groundwater resources management through the applications of simulation modeling: A review']"
Nihar Jana,"Department of Bioscience and Biotechnology, Indian Institute of Technology, Kharagpur",Neuroscience,23958,https://scholar.google.com/citations?hl=en&user=Tr9AtEcAAAAJ,48,102,"['Guidelines for the use and interpretation of assays for monitoring autophagy', 'Trehalose alleviates polyglutamine-mediated pathology in a mouse model of Huntington disease', 'Polyglutamine length-dependent interaction of Hsp40 and Hsp70 family chaperones with truncated N-terminal huntingtin: their role in suppression of aggregation and cellular toxicity', 'Altered proteasomal function due to the expression of polyglutamine-expanded truncated N-terminal huntingtin induces apoptosis by caspase activation through mitochondrial\xa0…', 'Co-chaperone CHIP associates with expanded polyglutamine protein and promotes their degradation by proteasomes', 'Inhibition of proteasomal function by curcumin induces apoptosis through mitochondrial pathway', 'Increased expression of p62 in expanded polyglutamine‐expressing cells and its association with polyglutamine inclusions', 'NSAIDs and apoptosis', 'Inhibition of amyloid fibril growth and dissolution of amyloid fibrils by curcumin–gold nanoparticles', 'Aspirin induces apoptosis through the inhibition of proteasome function']"
Mahitosh Mandal,"Professor, School of Medical Science and Technology,Indian Institute of Technology …",Cancer Biology,22550,https://scholar.google.com/citations?hl=en&user=kKOBFC0AAAAJ,83,307,"['Antiproliferative effects of honey and of its polyphenols: a review', 'Transcriptional repression of oestrogen receptor by metastasis-associated protein 1 corepressor', 'Cell cycle-dependent modulation of telomerase activity in tumor cells.', 'The potential of celecoxib-loaded hydroxyapatite-chitosan nanocomposite for the treatment of colon cancer', 'Regulatable expression of p21-activated kinase-1 promotes anchorage-independent growth and abnormal organization of mitotic spindles in human epithelial breast cancer cells', 'Regulation of cyclooxygenase-2 pathway by HER2 receptor', 'Exosome as a novel shuttle for delivery of therapeutics across biological barriers', 'A naturally occurring MTA1 variant sequesters oestrogen receptor-α in the cytoplasm', 'Physical interaction between epidermal growth factor receptor and DNA-dependent protein kinase in mammalian cells', 'Bcl-2 modulates telomerase activity']"
Ramesh Garg,"Professor, E & ECE, IIT Kharagpur","Electromagnetics, antennas, microwave circuits",21906,https://scholar.google.com/citations?hl=en&user=AZ_2uckAAAAJ,43,141,"['Microstrip antenna design handbook', 'Microstrip lines and slotlines', 'Computer-aided design of microwave circuits', 'Beneficial effects of terlipressin in hepatorenal syndrome: a prospective, randomized placebo‐controlled clinical trial', 'Characteristics of coupled microstriplines', 'Optimization of FDM 3D printing process parameters for multi-material using artificial neural network', 'Histogram equalization techniques for image enhancement', 'Selection of optimal software reliability growth models using a distance based approach', 'Simple and accurate formulas for a microstrip with finite strip thickness', 'Supplier selection criteria and methods in supply chains: A review']"
Sudip Misra,"FACM, FIEEE, FAAIA, FNAE, FNASc, FIET, INAE Chair Professor, IIT Kharagpur","Intelligent Sensing, Wireless Sensor Networks, Internet of Things",21678,https://scholar.google.com/citations?hl=en&user=h33l-A8AAAAJ,69,382,"['Wireless sensor networks for agriculture: The state-of-the-art in practice and future challenges', 'Assessment of the suitability of fog computing in the context of internet of things', 'Cloud computing applications for smart grid: A survey', 'Software-defined networking for internet of things: A survey', 'Theoretical modelling of fog computing: a green computing paradigm to support IoT applications', 'Guide to wireless mesh networks', 'Detour: Dynamic Task Offloading in Software-Defined Fog for IoT Applications', 'Privacy-preserving blockchain based IoT ecosystem using attribute-based encryption', 'LACAS: Learning automata-based congestion avoidance scheme for healthcare wireless sensor networks', 'Guide to wireless ad hoc networks']"
ChandraSekhar Tiwary,"Metallurgical and materials engineering, Indian Institute of Technology, Kharagpur, India",Materials,21211,https://scholar.google.com/citations?hl=en&user=1Ji-DbkAAAAJ,75,328,"['A metal-free electrocatalyst for carbon dioxide reduction to multi-carbon hydrocarbons and oxygenates', 'Achieving Highly Efficient, Selective, and Stable CO2 Reduction on Nitrogen-Doped Carbon Nanotubes', 'Nitrogen‐Doped Carbon Nanotube Arrays for High‐Efficiency Electrochemical Reduction of CO2: On the Understanding of Defects, Defect Density, and Selectivity', 'High-Entropy Alloys as Catalysts for the CO2 and CO Reduction Reactions: Experimental Realization', 'Exfoliation of a non-van der Waals material from iron ore hematite', 'Emerging 2D metal oxides and their applications', 'Quaternary 2D transition metal dichalcogenides (TMDs) with tunable bandgap', 'A perspective on the catalysis using the high entropy alloys', 'Re doping in 2D transition metal dichalcogenides as a new route to tailor structural phases and induced magnetism', 'Chemical vapor deposition of monolayer rhenium disulfide (ReS2)']"
Suman Chakraborty,"Professor of Mechanical Engineering, Indian Institute of Technology Kharagpur","Microfluidics and Nanofluidics, Interfacial Phenomena and Phase Change, Biomedical Engineering, Medical Diagnostics",21179,https://scholar.google.com/citations?hl=en&user=2RQrq70AAAAJ,71,490,"['PDMS microfluidics: A mini review', 'Analytical solutions for velocity, temperature and concentration distribution in electroosmotic microchannel flows of a non-Newtonian bio-fluid', 'Electroosmotically driven capillary transport of typical non-Newtonian biofluids in rectangular microchannels', 'Electroosmosis-modulated peristaltic transport in microfluidic channels', 'Augmentation of peristaltic microflows through electro-osmotic mechanisms', 'Microfluidics and nanofluidics handbook: fabrication, implementation, and applications', 'Dynamics of capillary flow of blood into a microfluidic channel', 'Microchannel flow control through a combined electromagnetohydrodynamic transport', 'Thermal characteristics of electromagnetohydrodynamic flows in narrow channels with viscous dissipation and Joule heating under constant wall heat flux', 'An enthalpy-based lattice Boltzmann model for diffusion dominated solid–liquid phase transformation']"
Debabrata Das,"Former Professor of Biotechnology,Indian Institute of Technology Kharagpur","biohydrogen, biohythane, microbial fuel cell, microalgae, phenol",20661,https://scholar.google.com/citations?hl=en&user=gU6HKm4AAAAJ,72,173,"['Hydrogen production by biological processes: a survey of literature', 'Advances in biological hydrogen production processes', 'Biohydrogen as a renewable energy resource—prospects and potentials', 'Improvement of fermentative hydrogen production: various approaches', 'Development of suitable photobioreactors for CO2 sequestration addressing global warming using green algae and cyanobacteria', 'Enhancement of hydrogen production by Enterobacter cloacae IIT-BT 08', 'The prospect of purple non-sulfur (PNS) photosynthetic bacteria for hydrogen production: the present state of the art', 'Continuous hydrogen production by immobilized Enterobacter cloacae IIT-BT 08 using lignocellulosic materials as solid matrices', 'Recent trends on the development of photobiological processes and photobioreactors for the improvement of hydrogen production', 'Adsorption of phenol from aqueous solutions using activated carbons prepared from Tectona grandis sawdust by ZnCl2 activation']"
solomon sudheer,Indian Institute of Technology Kharagpur,Artificial intelligence & Machine Learning,20499,https://scholar.google.com/citations?hl=en&user=rkzyhAcAAAAJ,64,197,"['Shuffled complex evolution approach for effective and efficient global minimization', 'Methods used for the development of neural networks for the prediction of water resource variables in river systems: Current status and future directions', 'A neuro-fuzzy computing technique for modeling hydrological time series', 'River flow prediction using artificial neural networks: generalisation beyond the calibration range', 'A data‐driven algorithm for constructing artificial neural network rainfall‐runoff models', 'Groundwater level forecasting in a shallow aquifer using artificial neural network approach', 'Identification and prioritisation of critical sub-watersheds for soil conservation management using the SWAT model', 'Sensitivity and identifiability of stream flow generation parameters of the SWAT model', 'Short‐term flood forecasting with a neurofuzzy model', 'Evaluation of evapotranspiration estimation methods and development of crop-coefficients for potato crop in a sub-humid region']"
Dhrubes Biswas,"Professor of Electronics, Indian Institute of Technology, Kharagpur","Semiconductor devices, health delivery",19615,https://scholar.google.com/citations?hl=en&user=M3iwPc4AAAAJ,67,263,"['ATLAS b-jet identification performance and efficiency measurement with  events in pp collisions at \xa0TeV', 'Search for squarks and gluinos in final states with jets and missing transverse momentum using  of   collision data with the ATLAS detector', 'Operation of the ATLAS trigger system in Run 2', 'Search for heavy Higgs bosons decaying into two tau leptons with the ATLAS detector using  collisions at  TeV', 'Search for new resonances in mass distributions of jet pairs using 139 fb−1 of pp collisions at  = 13 TeV with the ATLAS detector', 'Evidence for  production in the multilepton final state in proton–proton collisions at \xa0 with the ATLAS detector', 'A search for the dimuon decay of the Standard Model Higgs boson with the ATLAS detector', 'Higgs boson production cross-section measurements and their EFT interpretation in the  decay channel at  = 13 TeV with the ATLAS detector', 'Measurements of top-quark pair differential and double-differential cross-sections in the +jets channel with  collisions at  TeV using the ATLAS detector', 'Properties of Higgs Boson Interactions with Top Quarks in the  and  Processes Using  with the ATLAS Detector']"
Anjali Pal,"Department of Civil Engineering, Indian Institute of Technology Kharagpur - 721302, India","Adsorption, Adsolubilization, Catalysis, Advanced oxidation process, Wastewater treatment",19597,https://scholar.google.com/citations?hl=en&user=tRNoehAAAAAJ,64,270,"['Silver nanoparticle catalyzed reduction of aromatic nitro compounds', 'Photochemical green synthesis of calcium-alginate-stabilized Ag and Au nanoparticles and their catalytic application to 4-nitrophenol reduction', 'Synthesis and size-selective catalysis by supported gold nanoparticles: study on heterogeneous and homogeneous catalytic process', 'Nitroarene reduction: a trusted model reaction to test nanoparticle catalysts', 'Catalytic reduction of aromatic nitro compounds by coinage metal nanoparticles', 'Size controlled synthesis of gold nanoparticles using photochemically prepared seed particles', 'Photocatalytic degradation of a mixture of Crystal Violet (Basic Violet 3) and Methyl Red dye in aqueous suspensions using Ag+ doped TiO2', 'Synthesis of normal and inverted gold− silver core− shell architectures in β-cyclodextrin and their applications in SERS', 'Applications of chitosan in environmental remediation: A review', 'Size regime dependent catalysis by gold nanoparticles for the reduction of eosin']"
Ashok Kumar Gupta,"Professor (HAG) , Dept. of Civil Engg., Ex. Head, School of Water Resources, IIT Kharagpur","Water and Wastewater treatment, Wastewater recycling and reuse, Urban Environmental Planning, Water",18977,https://scholar.google.com/citations?hl=en&user=TgOX6jsAAAAJ,68,165,"['Fluoride in drinking water: a review on the status and stress effects', 'Recent advances on the removal of dyes from wastewater using various adsorbents: A critical review', 'Arsenic adsorption onto iron oxide-coated cement (IOCC): regression analysis of equilibrium data with several isotherm models and their optimization', 'Determination of thermodynamic parameters from Langmuir isotherm constant-revisited', 'A conceptual overview on sustainable technologies for the defluoridation of drinking water', 'Emerging contaminants in wastewater: A critical review on occurrence, existing legislations, risk assessment, and sustainable treatment alternatives', 'Review on landfill leachate treatment by electrochemical oxidation: Drawbacks, challenges and future scope', 'A review on hospital wastewater treatment: A special emphasis on occurrence and removal of pharmaceutically active compounds, resistant microorganisms, and SARS-CoV-2', 'Photocatalytic degradation of a mixture of Crystal Violet (Basic Violet 3) and Methyl Red dye in aqueous suspensions using Ag+ doped TiO2', 'Pharmaceutically active compounds in aqueous environment: A status, toxicity and insights of remediation']"
Sirshendu De,"Professor, Department of Chemical Engineering, Indian Institute of Technology Kharagpur","Membrane Separation, Transport Phenomena",18298,https://scholar.google.com/citations?hl=en&user=f2XnhOMAAAAJ,72,320,"['Removal of congo red using activated carbon and its regeneration', 'Nanofiltration of textile plant effluent for color removal and reduction in COD', 'Impact of graphene oxide on removal of heavy metals using mixed matrix membrane', 'Removal of dye from wastewater using micellar-enhanced ultrafiltration and recovery of surfactant', 'Adsorption study for the removal of a basic dye: experimental and modeling', 'Aluminium fumarate metal-organic framework: a super adsorbent for fluoride from water', 'A study on recovery of oil from sludge containing oil using froth flotation', 'Optimizing pectinase usage in pretreatment of mosambi juice for clarification by response surface methodology', 'Adsorption of eosin dye on activated carbon and its surfactant based desorption', 'Mechanistic investigation of photocatalytic degradation of Bisphenol-A using MIL-88A (Fe)/MoS2 Z-scheme heterojunction composite assisted peroxymonosulfate activation']"
DR. RAMKRISHNA SEN,"Professor & Former Head, Department of Biotechnology, IIT Kharagpur, WB 721302, India","Process Biotechnology, Biorefinery with carbon capture & waste …, Biosurfactants & Biopolymers, Algal Biofuels & Bior",16969,https://scholar.google.com/citations?hl=en&user=FhCZ9AsAAAAJ,67,186,"['Towards commercial production of microbial surfactants', 'Biotechnology in petroleum recovery: the microbial EOR', 'Antimicrobial potential of a lipopeptide biosurfactant derived from a marine Bacillus circulans', 'Lignocellulosic biorefinery as a model for sustainable development of biofuels and value added products', 'Commercializing lignocellulosic bioethanol: technology bottlenecks and possible remedies', 'Enhancement of tensile strength of lignocellulosic jute fibers by alkali-steam treatment', 'Potential therapeutic applications of biosurfactants', 'Response surface modeling and optimization to elucidate and analyze the effects of inoculum age and size on surfactin production', 'Improved bioavailability and biodegradation of a model polyaromatic hydrocarbon by a biosurfactant producing bacterium of marine origin', 'Recent developments in microbial enhanced oil recovery']"
Rintu Banerjee,IIT Kharagpur,"Biotechnology, Food Engineering, Downstream Processing, EVOP",16531,https://scholar.google.com/citations?hl=en&user=o6JC0f4AAAAJ,69,222,"['Convalescent plasma in patients admitted to hospital with COVID-19 (RECOVERY): a randomised controlled, open-label, platform trial', 'Large-scale discovery of novel genetic causes of developmental disorders', 'Seed birth to death: dual functions of reactive oxygen species in seed physiology', 'Green solvents and technologies for oil extraction from oilseeds', 'Sustainable green solvents and techniques for lipid extraction from microalgae: A review', 'Enrichment of phenolics and free radical scavenging property of wheat koji prepared with two filamentous fungi', 'Enzymatic transesterification of Jatropha oil', 'Optimization of culture parameters for extracellular protease production from a newly isolated Pseudomonas sp. using response surface and artificial neural network models', 'Dietary fibre as functional ingredient in meat products: a novel approach for healthy living—a review', 'Free radical scavenging, anti-glycation and tyrosinase inhibition properties of a polysaccharide fraction isolated from the rind from Punica granatum']"
Kumar Biradha,"Professor of Chemistry, Indian Institute of Technology, Kharagpur","Crystal engineering, Polymorphism, Coordination polymers, Porous materials, Crystallography",15884,https://scholar.google.com/citations?hl=en&user=KyFhOEgAAAAJ,60,200,"['Polymorphs, salts, and cocrystals: what’s in a name?', 'Molecular paneling via coordination', 'Crystal engineering of topochemical solid state reactions', 'A springlike 3D‐coordination network that shrinks or swells in a crystal‐to‐crystal manner upon guest removal or readsorption', 'Helical coordination polymers with large chiral cavities', 'Crystal engineering of coordination polymers using 4, 4′-bipyridine as a bond between transition metal atoms', 'Hydrogen bonding in organometallic crystals. 6. X− H---M hydrogen bonds and M---(H− X) pseudo-agostic bonds', 'Open square‐grid coordination polymers of the dimensions 20× 20 Å: remarkably stable and crystalline solids even after guest removal', 'Coordination polymers versus metal− organic frameworks', 'Crystal engineering: from weak hydrogen bonds to co-ordination bonds']"
Dipak khastgir,"Rubber Technology Centre,Indian Institute Of Technology,Kharagpur",,15160,https://scholar.google.com/citations?hl=en&user=apprCiUAAAAJ,64,183,"['Progress in preparation, processing and applications of polyaniline', 'Electromagnetic interference shielding effectiveness of carbon black and carbon fibre filled EVA and NR based composites', 'Effect of foam density on the properties of water blown rigid polyurethane foam', 'Electrochemical synthesis of polyaniline and its comparison with chemically synthesized polyaniline', 'Halogen-free flame retardant PUF: Effect of melamine compounds on mechanical, thermal and flame retardant properties', 'Determination of crystal structure of polyaniline and substituted polyanilines through powder X-ray diffraction analysis', 'Effect of dopant type on the properties of polyaniline', 'Effect of expandable graphite on the properties of intumescent flame‐retardant polyurethane foam', 'Dielectric behavior of polyaniline synthesized by different techniques', 'Polyaniline by new miniemulsion polymerization and the effect of reducing agent on conductivity']"
Soumya K. Ghosh,"Indian Institute of Technology Kharagpur, India","Spatial Data Science, Cloud Computing, Fog and Edge Computing, IoT",15002,https://scholar.google.com/citations?hl=en&user=wTtdGd4AAAAJ,48,208,"['iFogSim: A toolkit for modeling and simulation of resource management techniques in the Internet of Things, Edge and Fog computing environments', 'AI for next generation computing: Emerging trends and future directions', 'Transformative effects of ChatGPT on modern education: Emerging Era of AI Chatbots', 'Fog computing: Principles, architectures, and applications', 'Student performance analysis and prediction in classroom learning: A review of educational data mining studies', 'Adoption of artificial intelligence-integrated CRM systems in agile organizations in India', 'Modern computing: Vision and challenges', 'Optical character recognition systems', 'Are CRM systems ready for AI integration? A conceptual framework of organizational readiness for effective AI-CRM integration', 'A review on telemedicine-based WBAN framework for patient monitoring']"
Debdeep Mukhopadhyay,"Professor (FIEEE, FNA, FASc, FNAE), Dept of Computer Science and Engineering, IIT …","Side Channel Analysis, Hardware Security, Computer Architecture, Fault Tolerance, Hardware",14683,https://scholar.google.com/citations?hl=en&user=lfhvrhYAAAAJ,56,244,"['A survey on adversarial attacks and defences', 'Cryptography & network security', 'Differential fault analysis of the advanced encryption standard using a single fault', 'Building PUF based authentication and key exchange protocol for IoT without explicit CRPs in verifier database', 'Result pattern hiding searchable encryption for conjunctive queries', 'A PUF-based secure communication protocol for IoT', 'A multiplexer-based arbiter PUF composition with enhanced reliability and security', 'An improved fault based attack of the advanced encryption standard', 'Secured flipped scan-chain model for crypto-architecture', 'Curious case of rowhammer: flipping secret exponent bits using timing analysis']"
Debabrata Pradhan,"Professor, Materials Science Centre, Indian Institute of Technology Kharagpur","Materials Chemistry, Nanomaterials, Energy generation and storage",14599,https://scholar.google.com/citations?hl=en&user=MpTQVj0AAAAJ,64,205,"['Band gap engineered TiO2 nanoparticles for visible light induced photoelectrochemical and photocatalytic studies', 'Synergy of Low-Energy {101} and High-Energy {001} TiO2 Crystal Facets for Enhanced Photocatalysis', 'Defect-Induced Band Gap Narrowed CeO2 Nanostructures for Visible Light Activities', 'A metal-free covalent organic polymer for electrocatalytic hydrogen evolution', 'Controlled growth of two-dimensional and one-dimensional ZnO nanostructures on indium tin oxide coated glass by direct electrodeposition', 'Hierarchical nanostructured WO3–SnO2 for selective sensing of volatile organic compounds', 'Nanoscale Shape and Size Control of Cubic, Cuboctahedral, and Octahedral Cu−Cu2O Core−Shell Nanoparticles on Si(100) by One-Step, Templateless, Capping\xa0…', 'A critical review on transition metal phosphide based catalyst for electrochemical hydrogen evolution reaction: Gibbs free energy, composition, stability, and true identity of\xa0…', 'Adsorption/photocatalytic activity and fundamental natures of BiOCl and BiOClxI1− x prepared in water and ethylene glycol environments, and Ag and Au-doping effects', 'An Efficient, Visible Light Driven, Selective Oxidation of Aromatic Alcohols and Amines with O2 Using BiVO4/g-C3N4 Nanocomposite: A Systematic and\xa0…']"
