Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
Prof Prafulla Kumar  Behera,"Professor of Physics, Indian Institute of Technology Madras",Experimental High Energy Physics,289929,https://scholar.google.com/citations?hl=en&user=mScZ5g4AAAAJ,239,1538,"['Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC', 'The ATLAS simulation infrastructure', 'Luminosity determination in pp collisions at  = 8 TeV using the ATLAS detector at the LHC', 'Performance of the ATLAS trigger system in 2015', 'Particle-flow reconstruction and global event description with the CMS detector', 'Jet energy measurement with the ATLAS detector in proton-proton collisions at sqrt (s)= 7 TeV', 'The belle detector', 'Expected performance of the ATLAS experiment-detector, trigger and physics', 'Electron performance measurements with the ATLAS detector using the 2010 LHC proton-proton collision data', 'Extraction and validation of a new set of CMS PYTHIA8 tunes from underlying-event measurements']"
Chandra Kant Mishra IITM,IIT Madras,Gravitational waves,133952,https://scholar.google.com/citations?hl=en&user=t_Vg41AAAAAJ,113,218,"['Observation of gravitational waves from a binary black hole merger', 'GW170817: observation of gravitational waves from a binary neutron star inspiral', 'Advanced ligo', 'GWTC-1: a gravitational-wave transient catalog of compact binary mergers observed by LIGO and Virgo during the first and second observing runs', 'Tests of general relativity with GW150914', 'GWTC-3: Compact binary coalescences observed by LIGO and Virgo during the second part of the third observing run', 'Gravitational waves and gamma-rays from a binary neutron star merger: GW170817 and GRB 170817A', 'GWTC-2: Compact binary coalescences observed by LIGO and Virgo during the first half of the third observing run', 'GW170817: Measurements of neutron star radii and equation of state', 'GW170104: observation of a 50-solar-mass binary black hole coalescence at redshift 0.2']"
Mukesh Doble,"Distinguished Prof, Saveetha Dental college, Retd Prof IITM","Drug design, Biomaterials, Bioengineering",48509,https://scholar.google.com/citations?hl=en&user=Uywm3i4AAAAJ,76,285,"['Perry’s chemical engineers’ handbook', 'Synergism between natural products and antibiotics against infectious diseases', 'Biodegradation of polyethylene and polypropylene', 'Marine microbe-mediated biodegradation of low-and high-density polyethylenes', 'Biodegradation of aliphatic and aromatic polycarbonates', 'Biofilm formation, bacterial adhesion and host response on polymeric implants—issues and prevention', 'Design of biocomposite materials for bone tissue regeneration', 'Potential synergism of natural products in the treatment of cancer', 'Mechanism of action of natural products used in the treatment of diabetes mellitus', 'Synergistic interaction of eugenol with antibiotics against Gram negative bacteria']"
Thalappil Pradeep,Indian Institute of Technology Madras,Molecular and nanoscale materials,47274,https://scholar.google.com/citations?hl=en&user=CKZsjjcAAAAJ,98,509,"['Nanofluids: science and technology', 'Atomically precise clusters of noble metals: emerging link between atoms and nanoparticles', 'Effect of nanoscale zinc oxide particles on the germination, growth and yield of peanut', 'Potential of silver nanoparticle‐coated polyurethane foam as an antibacterial water filter', 'Coalescence of Nanoclusters and Formation of Submicron Crystallites Assisted by Lactobacillus Strains', 'Thermal conductivities of naked and monolayer protected metal nanoparticle based nanofluids: Manifestation of anomalous enhancement and chemical effects', 'Noble metal nanoparticles for water purification: a critical review', 'Model for heat conduction in nanofluids', 'Anisotropic nanomaterials: structure, growth, assembly, and functions', 'Reduced graphene oxide–metal/metal oxide composites: facile synthesis and application in water purification']"
BS Murty,IIT Madras,Nano Materials,31992,https://scholar.google.com/citations?hl=en&user=2roOB5gAAAAJ,83,391,"['High-entropy alloys', 'Grain refinement of aluminium and its alloys by heterogeneous nucleation and alloying', 'Decomposition in multi-component AlCoCrCuFeNi high-entropy alloy', 'Novel materials synthesis by mechanical alloying/milling', 'High-entropy alloys by mechanical alloying: A review', 'Bulk tracer diffusion in CoCrFeNi and CoCrFeMnNi high entropy alloys', 'Alloying behavior in multi-component AlCoCrCuFe and NiCoCrCuFe high entropy alloys', 'Synthesis and characterization of nanocrystalline AlFeTiCrZnCu high entropy solid solution by mechanical alloying', 'Thermal spray high-entropy alloy coatings: a review', 'Tensile and wear behaviour of in situ Al–7Si/TiB2 particulate composites']"
Sarit Kumar Das,"Institute Professor, IIT Madras","BioMicrofluidics, Nanofluids, Battery cooling, Multiphase flow in microsystems, Thermal hydraulics in nuclear and fuel cell …",29970,https://scholar.google.com/citations?hl=en&user=lhVJay4AAAAJ,63,214,"['Temperature dependence of thermal conductivity enhancement for nanofluids', 'Nanofluids', 'Heat transfer in nanofluids—a review', 'Pool boiling characteristics of nano-fluids', 'A benchmark study on the thermal conductivity of nanofluids', 'Natural convection of nano-fluids', 'Computationally guided photothermal tumor therapy using long-circulating gold nanorod antennas', 'Thermal conductivities of naked and monolayer protected metal nanoparticle based nanofluids: Manifestation of anomalous enhancement and chemical effects', 'Effect of particle size on the convective heat transfer in nanofluid in the developing region', 'Model for heat conduction in nanofluids']"
S. Subramanian,Indian Institute of Technology Madras,Physical sicneces   Magnetic resonancne …,28603,https://scholar.google.com/citations?hl=en&user=iDTlsngAAAAJ,81,429,"['Sensitivity-enhanced two-dimensional heteronuclear shift correlation NMR spectroscopy', 'Porous Solids by Design: [Zn(4,4′‐bpy)2(SiF6)]n·xDMF, a Single Framework Octahedral Coordination Polymer with Large Square Channels', 'A Tlr7 translocation accelerates systemic autoimmunity in murine lupus', 'Exploitation of the hydrogen bond: recent developments in the context of crystal engineering', 'The DNA sequence and biological annotation of human chromosome 1', 'Extracellular polymeric substances (EPS) producing bacterial strains of municipal wastewater sludge: isolation, molecular identification, EPS characterization and performance\xa0…', 'Interwoven two- and three-dimensional coordination polymers through self-assembly of CuI cations with linear bidentate ligands', 'Overhauser enhanced magnetic resonance imaging for tumor oximetry: coregistration of tumor anatomy and tissue oxygen concentration', 'COVID-19: Impact analysis and recommendations for power sector operation', 'Nitrates in the environment: A critical review of their distribution, sensing techniques, ecological effects and remediation']"
Balasubramanian Viswanathan,"Indian Institute of Technology, Madras",Catalysis,23254,https://scholar.google.com/citations?hl=en&user=f3U_p4QAAAAJ,78,314,"['Synthesis, characterization, electronic structure, and photocatalytic activity of nitrogen-doped TiO2 nanocatalyst', 'Biosynthesis of silver nanoparticles using Citrus sinensis peel extract and its antibacterial activity', 'Anode catalysts for direct methanol fuel cells in acidic media: do we have any alternative for Pt or Pt–Ru?', 'Mesoporous carbon nitrides: synthesis, functionalization, and applications', 'Ferrite materials: science and technology', 'Magnesium and magnesium alloy hydrides', 'Alternate synthetic strategy for the preparation of CdS nanoparticles and its exploitation for water splitting', 'Effect of surface area, pore volume and particle size of P25 titania on the phase transformation of anatase to rutile', 'Surface acidity of MCM-41 by in situ IR studies of pyridine adsorption', 'Thermal decomposition as route for silver nanoparticles']"
M. Michael Gromiha,Indian Institute of Technology Madras,,18597,https://scholar.google.com/citations?hl=en&user=8LsqFdUAAAAJ,68,272,"['CUPSAT: prediction of protein stability upon point mutations', 'ProTherm and ProNIT: thermodynamic databases for proteins and protein–nucleic acid interactions', 'ProTherm, version 4.0: thermodynamic database for proteins and mutants', 'Computational studies of drug repurposing and synergism of lopinavir, oseltamivir and ritonavir binding with SARS-CoV-2 protease against COVID-19', 'COVID-19 outbreak: history, mechanism, transmission, structural studies and therapeutics', 'Analysis and prediction of DNA-binding proteins and their binding residues based on composition, sequence and structural information', 'Inter-residue interactions in protein folding and stability', 'Comparison between long-range interactions and contact order in determining the folding rate of two-state proteins: application of long-range order to folding rate prediction', 'Prediction of RNA binding sites in a protein using SVM and PSSM profile', 'Identification of DNA-binding proteins using support vector machines and evolutionary profiles']"
chandrasekharan rajendran,IIT Madras,"Production and Operations Management, Quality Management",17908,https://scholar.google.com/citations?hl=en&user=xBzpRysAAAAJ,66,163,"['The relationship between service quality and customer satisfaction–a factor specific approach', 'Determinants of customer‐perceived service quality: a confirmatory factor analysis approach', 'Ant-colony algorithms for permutation flowshop scheduling to minimize makespan/total flowtime of jobs', 'Customer perceptions of service quality: A critique', 'Patient‐perceived dimensions of total quality service in healthcare', 'A comparative study of dispatching rules in dynamic flowshops and jobshops', 'A holistic model for total quality service', 'Efficient dispatching rules for scheduling in a job shop', 'Service quality and its impact on customer satisfaction in Indian hospitals: Perspectives of patients and their attendants', 'A conceptual model for total quality management in service organizations']"
