Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Bipul Bhuyan,Indian Institute of Technology Guwahati,Particle Physics,98786,https://scholar.google.com/citations?hl=en&user=shLBfaQAAAAJ,156.0,781.0
Ajaikumar B Kunnumakkara,"Professor, Department of Biosciences and Bioengineering, Indian Institute of Technology …","Cancer Biology, Pharmacology, Molecular Biology, Chronic Diseases",63492,https://scholar.google.com/citations?hl=en&user=isPyuFYAAAAJ,90.0,243.0
amit srivastava,IIT GUWAHATI,"WORD COMBINATORICS, FORMAL LANGUAGE",26224,https://scholar.google.com/citations?hl=en&user=ELPfWZQAAAAJ,79.0,565.0
Prof. MK Purkait  (Dr. Mihir Kumar Purkait),"Department of Chemical Enginering, Indian Institute of Technology Guwahati","Environmental Engineering, Membrane Technology, Separation Science, Water and wastewater treatment",23698,https://scholar.google.com/citations?hl=en&user=9Z4kD-sAAAAJ,87.0,246.0
Abu T. Khan,"Department of Chemistry, Indian Institute of Technology Guwahati","Multicomponent reaction, Green Chemistry, Heterocylic synthesis, carbohydrate synthesis",17555,https://scholar.google.com/citations?hl=en&user=Po33NwoAAAAJ,56.0,277.0
BIMAN B. MANDAL,"Professor, Department of Biosciences and Bioengineering, IIT Guwahati","Regenerative Medicine, Biomaterials, 3D Organoids & On-Chip Models, Stem cells, Drug delivery",16347,https://scholar.google.com/citations?hl=en&user=L7hpHIcAAAAJ,71.0,189.0
VS Moholkar,"HAG Professor, Dept of Chemical Engineering, Indian Institute of Technology Guwahati","Cavitation-aided Processes, Biofuels (gaseous/liquid)",15885,https://scholar.google.com/citations?hl=en&user=qOl1YgEAAAAJ,72.0,237.0
Vaibhav Goud,"Department of Chemical Engineering, Indian Institute of Technology Guwahati",,15722,https://scholar.google.com/citations?hl=en&user=pjb8HBkAAAAJ,54.0,148.0
Kaustubha Mohanty,"Professor of Chemical Engineering, IIT Guwahati","Microalgae, Biofuels, Biological Wastewater Treatment, Biomass Pyrolysis, Membrane Technology",14370,https://scholar.google.com/citations?hl=en&user=QOFTgxAAAAAJ,66.0,203.0
Ajay Kalamdhad,"Professor, Department of Civil Engineering, Indian Institute of Technology Guwahati","Environmental Engineering, Solid waste management, Composting",13948,https://scholar.google.com/citations?hl=en&user=6ElkLskAAAAJ,63.0,228.0
