Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers,Unnamed: 0,Interest Domains
Bipul Bhuyan,Indian Institute of Technology Guwahati,Particle Physics,99011,https://scholar.google.com/citations?hl=en&user=shLBfaQAAAAJ,156.0,781.0,"['The BABAR detector', 'Evidence for an Excess of  Decays', 'Study of  and Observation of a Charged Charmoniumlike State at Belle', 'Measurement of an Excess of B-> D (*) Tau Nu Decays and Implications for Charged Higgs Bosons', 'Observation of a Broad Structure in the  Mass Spectrum around', ',  and  cross sections measured <?format ?>with initial-state radiation', 'Measurement of the branching ratio of  relative to  decays with hadronic tagging at Belle', 'The Belle II physics book', 'Belle II technical design report', 'Searches for Lepton Flavor Violation in the Decays  and']",,"[""High Energy Physics"", ""Particle Physics""]"
Ajaikumar B Kunnumakkara,"Professor, Department of Biosciences and Bioengineering, Indian Institute of Technology …","Cancer Biology, Pharmacology, Molecular Biology, Chronic Diseases",63645,https://scholar.google.com/citations?hl=en&user=isPyuFYAAAAJ,90.0,243.0,"['Guidelines for the use and interpretation of assays for monitoring autophagy', 'Bioavailability of curcumin: problems and promises', 'Cancer is a preventable disease that requires major lifestyle changes', 'Curcumin as “Curecumin”: from kitchen to clinic', 'Phase II trial of curcumin in patients with advanced pancreatic cancer', 'Curcumin and cancer: an “old-age” disease with an “age-old” solution', 'Biological activities of curcumin and its analogues (Congeners) made by man and Mother Nature', 'Curcumin inhibits proliferation, invasion, angiogenesis and metastasis of different cancers through interaction with multiple cell signaling proteins', 'Curcumin, the golden nutraceutical: multitargeting for multiple chronic diseases', 'Signal transducer and activator of transcription‐3, inflammation, and cancer: how intimate is the relationship?']",,"[""Inflammation and Inflammatory Diseases"", ""Nutraceuticals and Natural Compounds"", ""Cancer Research""]"
amit srivastava,IIT GUWAHATI,"WORD COMBINATORICS, FORMAL LANGUAGE",26293,https://scholar.google.com/citations?hl=en&user=ELPfWZQAAAAJ,79.0,565.0,"['Interleukin-17A mediates acquired immunity to pneumococcal colonization', 'CD4+ T cells mediate antibody-independent acquired immunity to pneumococcal colonization', 'Fat replacement in soft dough biscuits: its implications on dough rheology and biscuit quality', 'Methods for analysis and quantification of power system resilience', 'Influence of spatial variability of permeability property on steady state seepage flow and slope stability analysis', 'Speech and language technologies for audio indexing and retrieval', 'The apoptotic response to pneumolysin is Toll-like receptor 4 dependent and protects against pneumococcal disease', 'Effects of nanofertilizers on soil and plant-associated microbial communities: Emerging trends and perspectives', 'Antibody-independent, interleukin-17A-mediated, cross-serotype immunity to pneumococci in mice immunized intranasally with the cell wall polysaccharide', 'Cinnamon bark oil, a potent fungitoxicant against fungi causing respiratory tract mycoses']",,"[""Immunity and Inflammation"", ""Biology and Infectious Diseases"", ""Food Science and Technology"", ""Materials Science"", ""Systems and Control Engineering""]"
Prof. MK Purkait  (Dr. Mihir Kumar Purkait),"Department of Chemical Enginering, Indian Institute of Technology Guwahati","Environmental Engineering, Membrane Technology, Separation Science, Water and wastewater treatment",23739,https://scholar.google.com/citations?hl=en&user=9Z4kD-sAAAAJ,87.0,246.0,"['Adsorption characteristics of brilliant green dye on kaolin', 'Removal of congo red using activated carbon and its regeneration', 'Ultrafiltration of stable oil-in-water emulsion by polysulfone membrane', 'Removal of cationic dyes from aqueous solutions by kaolin: kinetic and equilibrium studies', 'Effect of molecular weight of PEG on membrane morphology and transport properties', 'Preparation, characterization and performance studies of polysulfone membranes using PVP as an additive', 'Nanofiltration of textile plant effluent for color removal and reduction in COD', 'A review on the environment-friendly emerging techniques for pretreatment of lignocellulosic biomass: Mechanistic insight and advancements', 'Preparation and characterization of low cost ceramic membranes for micro-filtration applications', 'Arsenic adsorption using copper (II) oxide nanoparticles']",,"[""Water Treatment and Filtration"", ""Adsorption and Separation Processes"", ""Membrane Technology and Materials"", ""Biomass Processing and Purification"", ""Nanotechnology in Environmental Applications""]"
Abu T. Khan,"Department of Chemistry, Indian Institute of Technology Guwahati","Multicomponent reaction, Green Chemistry, Heterocylic synthesis, carbohydrate synthesis",17582,https://scholar.google.com/citations?hl=en&user=Po33NwoAAAAJ,56.0,277.0,"['Mortality and pulmonary complications in patients undergoing surgery with perioperative SARS-CoV-2 infection: an international cohort study', 'Elective surgery cancellations due to the COVID-19 pandemic: global predictive modelling to inform surgical recovery plans', 'An evaluation of the antioxidant and antiviral action of extracts of rosemary and Provencal herbs', 'Effects of fluoxetine on functional outcomes after acute stroke (FOCUS): a pragmatic, double-blind, randomised, controlled trial', 'Canadian Stroke Best Practice Recommendations: Mood, Cognition and Fatigue following Stroke, 6th edition update 2019', 'Global variation in postoperative mortality and complications after cancer surgery: a multicentre, prospective cohort study in 82 countries', 'One-pot three-component reaction for the synthesis of pyran annulated heterocyclic compounds using DMAP as a catalyst', 'Structural analysis and properties of dextran produced by Leuconostoc mesenteroides NRRL B-640', 'Regioselective Bromination of Organic Substrates by Tetrabutylammonium Bromide Promoted by V2O5−H2O2:\u2009 An Environmentally Favorable Synthetic Protocol', 'Effects of substituents in the β-position of 1, 3-dicarbonyl compounds in bromodimethylsulfonium bromide-catalyzed multicomponent reactions: a facile access to functionalized\xa0…']",,"[""Infectious Diseases"", ""Psychiatry"", ""Pharmaceuticals and Pharmacology"", ""Synthesis and Organic Chemistry""]"
BIMAN B. MANDAL,"Professor, Department of Biosciences and Bioengineering, IIT Guwahati","Regenerative Medicine, Biomaterials, 3D Organoids & On-Chip Models, Stem cells, Drug delivery",16379,https://scholar.google.com/citations?hl=en&user=L7hpHIcAAAAJ,71.0,189.0,"['Cell proliferation and migration in silk fibroin 3D scaffolds', 'Emerging and innovative approaches for wound healing and skin regeneration: current status and advances', 'High-strength silk protein scaffolds for bone repair', 'Silk biomaterials in wound healing and skin regeneration therapeutics: From bench to bedside', 'Silk fibroin/polyacrylamide semi-interpenetrating network hydrogels for controlled drug release', 'Silk microfiber-reinforced silk hydrogel composites for functional cartilage tissue repair', 'Removal of Cr (VI) from aqueous solution using Bael fruit (Aegle marmelos correa) shell as an adsorbent', 'Potential of agarose/silk fibroin blended hydrogel for in vitro cartilage tissue engineering', 'Novel silk sericin/gelatin 3-D scaffolds and 2-D films: fabrication and characterization for potential tissue engineering applications', '3D bioprinting using cross-linker-free silk–gelatin bioink for cartilage tissue engineering']",,"[""Biomedical Engineering"", ""Tissue Engineering"", ""Materials Science"", ""Biodegradable Polymers"", ""Skin Regeneration""]"
VS Moholkar,"HAG Professor, Dept of Chemical Engineering, Indian Institute of Technology Guwahati","Cavitation-aided Processes, Biofuels (gaseous/liquid)",15916,https://scholar.google.com/citations?hl=en&user=qOl1YgEAAAAJ,72.0,237.0,"['Biomass gasification for decentralized power generation: The Indian perspective', 'Cavitation Reaction Engineering', '20 Mechanistic Aspects of Ultrasound-Enhanced Physical and Chemical Processes', 'Mechanistic assessment of microalgal lipid extraction', 'Chapter 14 – Biomass Gasification Integrated Fischer-Tropsch Synthesis: Perspectives, Opportunities and Challenges', 'Discernment of synergism in pyrolysis of biomass blends using thermogravimetric analysis', 'Hydrodynamic cavitation for sonochemical effects', 'Co-gasification of coal and biomass blends: chemistry and engineering', 'Biobutanol: science, engineering, and economics', 'Mapping the cavitation intensity in an ultrasonic bath using the acoustic emission']",,"[""Biomass Utilization"", ""Cavitation and Ultrasound"", ""Energy Conversion and Fuels"", ""Microalgal and Lipid Research"", ""Chemical Engineering""]"
Vaibhav Goud,"Department of Chemical Engineering, Indian Institute of Technology Guwahati",,15758,https://scholar.google.com/citations?hl=en&user=pjb8HBkAAAAJ,54.0,148.0,"['Production of first and second generation biofuels: a comprehensive review', 'Characterization of Canadian biomass for alternative renewable biofuel', 'Epoxidation of cottonseed oil by aqueous hydrogen peroxide catalysed by liquid inorganic acids', 'Biodiesel production from renewable feedstocks: Status and opportunities', 'Studies on the epoxidation of mahua oil (Madhumica indica) by hydrogen peroxide', 'A review on enhanced biogas production from anaerobic digestion of lignocellulosic biomass by different enhancement techniques', 'Epoxidation of canola oil with hydrogen peroxide catalyzed by acidic ion exchange resin', 'Pitfalls in the 3, 5-dinitrosalicylic acid (DNS) assay for the reducing sugars: Interference of furfural and 5-hydroxymethylfurfural', 'Kinetics of epoxidation of jatropha oil with peroxyacetic and peroxyformic acid catalysed by acidic ion exchange resin', 'Epoxidation of karanja (Pongamia glabra) oil by H2O2']",,"[""Bioenergy and Biomass Conversion"", ""Biodiesel Production"", ""Biofuel Production"", ""Hydrogen Peroxide Catalysis"", ""Biomass Utilization""]"
Kaustubha Mohanty,"Professor of Chemical Engineering, IIT Guwahati","Microalgae, Biofuels, Biological Wastewater Treatment, Biomass Pyrolysis, Membrane Technology",14407,https://scholar.google.com/citations?hl=en&user=QOFTgxAAAAAJ,66.0,203.0,"['Pyrolysis kinetics and thermal behavior of waste sawdust biomass using thermogravimetric analysis', 'Removal of chromium (VI) from dilute aqueous solutions by activated carbon developed from Terminalia arjuna nuts activated with zinc chloride', 'Adsorption of phenol from aqueous solutions using activated carbons prepared from Tectona grandis sawdust by ZnCl2 activation', 'Removal of crystal violet from wastewater by activated carbons prepared from rice husk', 'Biosorption of Cr (VI) from aqueous solutions by Eichhornia crassipes', 'Molecular dynamic simulation of spontaneous combustion and pyrolysis of brown coal using ReaxFF', 'Kinetic analysis and pyrolysis behaviour of waste biomass towards its bioenergy potential', 'Hydrothermal liquefaction of biomass for bio-crude production: A review on feedstocks, chemical compositions, operating parameters, reaction kinetics, techno-economic study\xa0…', 'Pyrolysis kinetics and synergistic effect in co-pyrolysis of Samanea saman seeds and polyethylene terephthalate using thermogravimetric analyser', 'Preparation and characterization of activated carbons from Sterculiaalata nutshell by chemical activation with zinc chloride to remove phenol from wastewater']",,"[""Biomass Utilization"", ""Environmental Remediation"", ""Thermal Analysis and Pyrolysis"", ""Activated Carbon Materials"", ""Sustainable Energy and Fuels""]"
Ajay Kalamdhad,"Professor, Department of Civil Engineering, Indian Institute of Technology Guwahati","Environmental Engineering, Solid waste management, Composting",13981,https://scholar.google.com/citations?hl=en&user=6ElkLskAAAAJ,63.0,228.0,"['Effects of heavy metals on soil, plants, human health and aquatic life', 'Pre-treatment and anaerobic digestion of food waste for high rate methane production–A review', 'A review on enhanced biogas production from anaerobic digestion of lignocellulosic biomass by different enhancement techniques', 'Recent advances in removal of lignin from paper industry wastewater and its industrial applications–A review', 'Rotary drum composting of vegetable waste and tree leaves', 'Assessment of bioavailability and leachability of heavy metals during rotary drum composting of green waste (Water hyacinth)', 'Application of drum compost and vermicompost to improve soil health, growth, and yield parameters for tomato and cabbage plants', 'Factors affecting anaerobic digestion for biogas production: A review', 'Biochar amendment for batch composting of nitrogen rich organic waste: Effect on degradation kinetics, composting physics and nutritional properties', 'Effects of turning frequency on compost stability and some chemical characteristics in a rotary drum composter']",,"[""Environmental Pollution and Bioremediation"", ""Anaerobic Digestion and Biogas Production"", ""Biomass Utilization and Waste Management"", ""Soil and Plant Health"", ""Composting and Vermicomposting""]"
