Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,vector_id
Richa Singh,"Professor, IIT Jodhpur","Biometrics, Pattern Recognition, Machine Learning, Face Recognition, Deep Learning",17829,https://scholar.google.com/citations?hl=en&user=okqK5UAAAAAJ,75,285,interest_0
Mayank Vatsa,"Professor, IIT Jodhpur","biometrics, image processing, deep learning, machine learning, computer vision",17195,https://scholar.google.com/citations?hl=en&user=-DAxp-cAAAAJ,74,270,interest_1
Mahesh KUMAR,"Professor, Indian Institute of Technology Jodhpur","2D Materials, Sensors, Memristor, Semiconductor Devices",10538,https://scholar.google.com/citations?hl=en&user=JeH1UkAAAAAJ,50,166,interest_2
Ajay Agarwal,"Professor of Electrical Engineering, IIT Jodhpur","Micro Nano Technologies, Sensors, MEMS and Micro-Fluidics, Medical Technologies",8707,https://scholar.google.com/citations?hl=en&user=XUwFhB8AAAAJ,39,109,interest_3
Ambesh Dixit,"Professor, Department of Physics, Indian Institute of Technology Jodhpur","Functional Material- Nitride & Oxide …, Oxide multiferroics, Energy materials for",6790,https://scholar.google.com/citations?hl=en&user=sMI3z5wAAAAJ,43,162,interest_4
Indranil Banerjee,"Fellow of Royal Society of Chemistry, Associate Professor, Indian Institute of Technology …","Tissue engineering, Regenerative medicine, Biomaterials, Theranostic systems, Biomicrofluidics",5688,https://scholar.google.com/citations?hl=en&user=W1nMmL0AAAAJ,44,90,interest_5
Ankur Gupta,"Associate Professor, Indian Institute of Technology Jodhpur","Microsystems, Manufacturing, Nanotechnology, Sensor",4479,https://scholar.google.com/citations?hl=en&user=zlYdevcAAAAJ,38,123,interest_6
Amitava Banerjee,"Assistant Professor, Indian Institute of Technology Jodhpur","NRR-HER-Co2RR Catalysts, Energy Materials, Growth-Defect-DiffusionOxide, DFT, MD",4367,https://scholar.google.com/citations?hl=en&user=Fx2ZbyoAAAAJ,26,46,interest_7
Dr. Nishant Kumar,"Associate Professor, at Indian Institute of Technology Jodhpur, India","Digital Twin, Renewable Energy, Optimization, Solar Energy, Electrical Engineering",4298,https://scholar.google.com/citations?hl=en&user=wghivL8AAAAJ,41,66,interest_8
Raviraj Vankayala,"Associate Professor, Department of Bioscience and Bioengineering, IIT Jodhpur","Nanomedicine, Biophotonics, Photochemistry, Anticancer Nanotechnology",4261,https://scholar.google.com/citations?hl=en&user=JjP2aqgAAAAJ,29,49,interest_9
AbdulGafoor Shaik,Associate Professor IIT Jodhpur,Power System,4122,https://scholar.google.com/citations?hl=en&user=VlOmVR0AAAAJ,29,46,interest_10
Sandip Murarka,Associate Professor of Chemistry at IIT Jodhpur,"Organic Synthesis, Catalysis, Medicinal Chemistry",3908,https://scholar.google.com/citations?hl=en&user=qGp_yVoAAAAJ,33,51,interest_11
Sampat Raj Vadera,"Professor of Physics, Indian Institute of Technology Jodhpur","Solid State Physics, Materials Science, Nano materials, Ferrites, Stealth Materials",3811,https://scholar.google.com/citations?hl=en&user=SztzlHoAAAAJ,33,56,interest_12
Satyajit Sahu,"Professor, Department of Physics, Indian Institute of Technology Jodhpur","Physics, Molecular Electronics, Organic electronics, Quantum Dots, Thermoelectric Materials",3431,https://scholar.google.com/citations?hl=en&user=YQSCWSoAAAAJ,29,63,interest_13
Dibyendu K. Sasmal,"Associate Professor, Department of Chemistry, Indian Institute of Technology Jodhpur","Experimental Phy Chem, Fluorescence Spectroscopy, Single molecule Imaging, smFRET, FLIM/FCS",3361,https://scholar.google.com/citations?hl=en&user=l5F3JREAAAAJ,21,26,interest_14
Shree Prakash Tiwari,"Professor, Department of Electronics Engineering, Indian Institute of Technology Jodhpur","Organic and Flexible Electronics, Microelectronics",3192,https://scholar.google.com/citations?hl=en&user=-QSxYlgAAAAJ,34,71,interest_15
