Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,Research Papers
Zillur Rahman,"Professor, Department of Management Studies, IIT Roorkee","Marketing, Consumer Behaviour, Services Marketing, Branding, New Technologies",27985,https://scholar.google.com/citations?hl=en&user=9nWkKXAAAAAJ,86,177,"['Factors Affecting Green Purchase Behaviour and Future Research Directions', 'Measuring Consumer Perception of Social Media Marketing Activities in E-Commerce Industry: Scale Development & Validation', 'The impact of online brand community characteristics on customer engagement: An application of Stimulus-Organism-Response paradigm', 'The Influence of Social Media Marketing Activities on Customer Loyalty: A Study of E-commerce Industry', 'Corporate sustainability performance and firm performance research: literature review and future research agenda', 'Consumer engagement in online brand communities: A solicitation of congruity theory', 'Customer engagement in the service context: An empirical investigation of the construct, its antecedents and consequences', 'An empirical investigation of relationship between total quality management practices and quality performance in Indian service companies', 'Analysis of interaction among the barriers to total quality management implementation using interpretive structural modeling approach', 'Consumers’ Sustainable Purchase Behaviour: Modelling the Impact of Psychological Factors']"
Ankit Jain,IIT Roorkee,"Optimization, Strategic Analysis",26363,https://scholar.google.com/citations?hl=en&user=jBNI1EUAAAAJ,52,225,"['Data clustering: 50 years beyond K-means', 'Experimental investigations and optimization of surface roughness in turning of en 36 alloy steel using response surface methodology and genetic algorithm', 'Clinical significance of histological classification of idiopathic interstitial pneumonia', 'Production scheduling/rescheduling in flexible manufacturing', '3d Printing: Basic principles and applications', 'Generating Images from Light Fields Utilizing Virtual Viewpoints', 'Simultaneous anterior decompression and posterior instrumentation of the tuberculous spine using an anterolateral extrapleural approach', 'Systems and methods for stereo imaging with camera arrays', 'Nine loci for ocular axial length identified through genome-wide association studies, including shared loci with refractive error', 'Multimodal biometric authentication methods: a COTS approach']"
Vimal Chandra srivastava,"Professor of Chemical Egineering, Indian Institute of Technology Roorkee, Roorkee","Separation Processes & Catalysis, Pollution Abatement, Desulfurization, CO2 Utilization & Alternative Fuels, Nanomaterials",24196,https://scholar.google.com/citations?hl=en&user=vXB9eOwAAAAJ,76,235,"['Adsorptive removal of phenol by bagasse fly ash and activated carbon: equilibrium, kinetics and thermodynamics', 'Removal of Orange-G and Methyl Violet dyes by adsorption onto bagasse fly ash—kinetic study and equilibrium isotherm analyses', 'Removal of congo red from aqueous solution by bagasse fly ash and activated carbon: kinetic study and equilibrium isotherm analyses', 'An evaluation of desulfurization technologies for sulfur removal from liquid fuels', 'Characterization of mesoporous rice husk ash (RHA) and adsorption kinetics of metal ions from aqueous solution onto RHA', 'Adsorptive removal of malachite green dye from aqueous solution by bagasse fly ash and activated carbon-kinetic study and equilibrium isotherm analyses', 'Kinetic and equilibrium isotherm studies for the adsorptive removal of Brilliant Green dye from aqueous solution by rice husk ash', 'Rice husk ash as an effective adsorbent: Evaluation of adsorptive characteristics for Indigo Carmine dye', 'Equilibrium modelling of single and binary adsorption of cadmium and nickel onto bagasse fly ash', 'Characterization and utilization of mesoporous fertilizer plant waste carbon for adsorptive removal of dyes from aqueous solution']"
RP Saini,"HRED, IIT Roorkee","Small Hydro Power, Solar Energy and Other Renewable Energy …",21234,https://scholar.google.com/citations?hl=en&user=InISv4QAAAAJ,76,179,"['A review on Integrated Renewable Energy System based power generation for stand-alone applications: Configurations, storage options, sizing methodologies and control', 'Social, economical and environmental impacts of renewable energy systems', 'Heat transfer and friction factor correlations for a solar air heater duct roughened artificially with multiple v-ribs', 'A review on planning, configurations, modeling and optimization techniques of hybrid renewable energy systems for off grid applications', 'Integrated renewable energy systems for off grid rural electrification of remote area', 'Study of cavitation in hydro turbines—A review', 'Development of correlations for Nusselt number and friction factor for solar air heater with roughened duct having arc-shaped wire as artificial roughness', 'Heat transfer and friction factor correlations for a duct having dimple-shape artificial roughness for solar air heaters', 'A review on packed bed solar energy storage systems', 'A review on hydropower plant models and control']"
Pradeep Kumar,"Professor, Mechanical & Industrial Engineering, IIT Roorkee","Nano/Micro Machining, Industry 4.0, Business Process Reengineering & Supply …, Quality and Reliability Engineerin",20964,https://scholar.google.com/citations?hl=en&user=sJy047QAAAAJ,79,288,"['Risk analysis in green supply chain using fuzzy AHP approach: a case study', 'Parametric optimization of powder mixed electrical discharge machining by response surface methodology', 'A goal programming model for paper recycling system', 'Systematic failure mode effect analysis (FMEA) using fuzzy linguistic modelling', ""Optimizing power consumption for CNC turned parts using response surface methodology and Taguchi's technique—A comparative analysis"", 'Technology and research developments in powder mixed electric discharge machining (PMEDM)', 'Effect of silicon powder mixed EDM on machining rate of AISI D2 die steel', 'Some studies on P91 steel and their weldments', 'Evaluating factors in implementation of successful green supply chain management using DEMATEL: a case study', 'Mitigate risks in perishable food supply chains: Learning from COVID-19']"
Mahendra Pal Sharma,"Professor ,Department of Hydro and Renewable Energy, IIT Roorkee, Uttarakhand, India","Renewable Energy, Bio energy, Water Quality Mapping, Conservation of lakes and rivers, Induction Generators",17604,https://scholar.google.com/citations?hl=en&user=P3RVZy4AAAAJ,60,182,"['Prospects of biodiesel production from vegetable oils in India', 'Social, economical and environmental impacts of renewable energy systems', 'Review of process parameters for biodiesel production from different feedstocks', 'Prospects of biodiesel from Jatropha in India: a review', 'Stability of biodiesel and its blends: a review', 'Integrated renewable energy systems for off grid rural electrification of remote area', 'A review on configurations, control and sizing methodologies of hybrid energy systems', 'Effect of particle size on biogas generation from biomass residues', 'Optimal allocation of combined DG and capacitor for real power loss minimization in distribution networks', 'Impact of alcohol on biodiesel production and properties']"
Sanjay Kumar,"Indian Institute of Technology Roorkee, India.","Condensed Matter Physics (Theory), Physics of Graphene and its multilayers",16976,https://scholar.google.com/citations?hl=en&user=vBH2TyEAAAAJ,43,150,"['The World Health Organization quality of life assessment (WHOQOL): position paper from the World Health Organization', 'Character and spatial distribution of OH/H2O on the surface of the Moon seen by M3 on Chandrayaan-1', 'Diagnostic performance of body mass index to identify obesity as defined by body adiposity in children and adolescents: a systematic review and meta‐analysis', 'International myeloma working group consensus statement and guidelines regarding the current role of imaging techniques in the diagnosis and monitoring of multiple Myeloma', 'Management of relapsed multiple myeloma: recommendations of the International Myeloma Working Group', 'Whole-exome sequencing of cell-free DNA and circulating tumor cells in multiple myeloma', 'ABT-737, an inhibitor of Bcl-2 family proteins, is a potent inducer of apoptosis in multiple myeloma cells', 'Pituitary apoplexy: retrospective review of 30 patients—is surgical intervention always necessary?', 'Prevalence of myeloma precursor state monoclonal gammopathy of undetermined significance in 12372 individuals 10–49 years old: a population-based study from the National Health\xa0…', 'Effect of thalidomide therapy on bone marrow angiogenesis in multiple myeloma']"
Dr. Surendra Kumar Mishra,"Professor (HAG), Dept. of Water Resources Development and Management, IIT Roorkee","Rainfall-runoff-sediment yield modelling, dam break analysis, water audit, EIA/EMP studies",15406,https://scholar.google.com/citations?hl=en&user=r8ps9gUAAAAJ,64,246,"['Soil conservation service curve number (SCS-CN) methodology', 'Physically based soil erosion and sediment yield models revisited', 'Comparison of infiltration models', 'Another look at SCS-CN method', 'SCS-CN-based modeling of sediment yield', 'Long‐term hydrological simulation based on the Soil Conservation Service curve number', 'Prioritizing erosion-prone area through morphometric analysis: an RS and GIS perspective', 'Soil erosion modeling of a Himalayan watershed using RS and GIS', 'Evaluation of the SCS-CN-based model incorporating antecedent moisture', 'An Improved IaS Relation Incorporating Antecedent Moisture in SCS-CN Methodology']"
B. Prasad,"Professor, Department of Chemical Engineering, Indian institute of Technology Roorkee …","Biomass energy, air and water pollution",14131,https://scholar.google.com/citations?hl=en&user=o-EDdTsAAAAJ,55,272,"['Adsorptive removal of phenol by bagasse fly ash and activated carbon: equilibrium, kinetics and thermodynamics', 'A focus to green synthesis of metal/metal based oxide nanoparticles: Various mechanisms and applications towards ecological approach', 'Advancement and challenges in MOSFET scaling', 'Electrochemical degradation of pulp and paper mill wastewater. Part 1. COD and color removal', 'Pretreatment of petrochemical wastewater by coagulation and flocculation and the sludge characteristics', 'Optimization of process parameters for acrylonitrile removal by a low-cost adsorbent using Box–Behnken design', 'Oil field effluent water treatment for safe disposal by electroflotation', 'Adsorptive removal of acrylonitrile by commercial grade activated carbon: Kinetics, equilibrium and thermodynamics', 'Global degradation kinetics of pine needles in air', 'Batch adsorption of zinc on tea factory waste']"
Rajendra Goyal,"Ex. Professor of Chemistry, IIT Roorkee","Sensors, electroanalytical chemistry",13847,https://scholar.google.com/citations?hl=en&user=k7K_xFEAAAAJ,56,182,"['Factors associated with death in critically ill patients with coronavirus disease 2019 in the US', 'Voltammetric biosensors for the determination of paracetamol at carbon nanotube modified pyrolytic graphite electrode', 'Conducting polymer-based electrochemical biosensors for neurotransmitters: A review', 'Fullerene-C60-modified electrode as a sensitive voltammetric sensor for detection of nandrolone—an anabolic steroid used in doping', 'AKI treated with renal replacement therapy in critically ill patients with COVID-19', 'Electrochemical Sensor for the Determination of Dopamine in Presence of High Concentration of Ascorbic Acid Using a Fullerene‐C60 Coated Gold Electrode', 'Differential pulse voltammetric determination of paracetamol at nanogold modified indium tin oxide electrode', 'Voltammetric determination of paracetamol at C60-modified glassy carbon electrode', 'A sensitive voltammetric sensor for determination of synthetic corticosteroid triamcinolone, abused for doping', 'Fullerene-C60-modified edge plane pyrolytic graphite electrode for the determination of dexamethasone in pharmaceutical formulations and human biological fluids']"
