Name,Affiliation,Interests,Cited By,Profile URL
Dr. Ajay Singh,"Agricultural and Food Engineering Department, IIT Kharagpur, India","Natural Resources Management, Agricultural Water Management, Irrigation, Hydrology, Groundwater",36012,https://scholar.google.com/citations?hl=en&user=wg3NBd8AAAAJ
Nihar Jana,"Department of Bioscience and Biotechnology, Indian Institute of Technology, Kharagpur",Neuroscience,23899,https://scholar.google.com/citations?hl=en&user=Tr9AtEcAAAAJ
Mahitosh Mandal,"Professor, School of Medical Science and Technology,Indian Institute of Technology …",Cancer Biology,22509,https://scholar.google.com/citations?hl=en&user=kKOBFC0AAAAJ
Ramesh Garg,"Professor, E & ECE, IIT Kharagpur","Electromagnetics, antennas, microwave circuits",21854,https://scholar.google.com/citations?hl=en&user=AZ_2uckAAAAJ
Sudip Misra,"FACM, FIEEE, FAAIA, FNAE, FNASc, FIET, INAE Chair Professor, IIT Kharagpur","Intelligent Sensing, Wireless Sensor Networks, Internet of Things",21628,https://scholar.google.com/citations?hl=en&user=h33l-A8AAAAJ
Suman Chakraborty,"Professor of Mechanical Engineering, Indian Institute of Technology Kharagpur","Microfluidics and Nanofluidics, Interfacial Phenomena and Phase Change, Biomedical Engineering, Medical Diagnostics",21120,https://scholar.google.com/citations?hl=en&user=2RQrq70AAAAJ
ChandraSekhar Tiwary,"Metallurgical and materials engineering, Indian Institute of Technology, Kharagpur, India",Materials,21107,https://scholar.google.com/citations?hl=en&user=1Ji-DbkAAAAJ
Debabrata Das,"Former Professor of Biotechnology,Indian Institute of Technology Kharagpur","biohydrogen, biohythane, microbial fuel cell, microalgae, phenol",20626,https://scholar.google.com/citations?hl=en&user=gU6HKm4AAAAJ
solomon sudheer,Indian Institute of Technology Kharagpur,Artificial intelligence & Machine Learning,20445,https://scholar.google.com/citations?hl=en&user=rkzyhAcAAAAJ
Anjali Pal,"Department of Civil Engineering, Indian Institute of Technology Kharagpur - 721302, India","Adsorption, Adsolubilization, Catalysis, Advanced oxidation process, Wastewater treatment",19569,https://scholar.google.com/citations?hl=en&user=tRNoehAAAAAJ
Dhrubes Biswas,"Professor of Electronics, Indian Institute of Technology, Kharagpur","Semiconductor devices, health delivery",19478,https://scholar.google.com/citations?hl=en&user=M3iwPc4AAAAJ
Ashok Kumar Gupta,"Professor (HAG) , Dept. of Civil Engg., Ex. Head, School of Water Resources, IIT Kharagpur","Water and Wastewater treatment, Wastewater recycling and reuse, Urban Environmental Planning, Water",18913,https://scholar.google.com/citations?hl=en&user=TgOX6jsAAAAJ
Sirshendu De,"Professor, Department of Chemical Engineering, Indian Institute of Technology Kharagpur","Membrane Separation, Transport Phenomena",18259,https://scholar.google.com/citations?hl=en&user=f2XnhOMAAAAJ
DR. RAMKRISHNA SEN,"Professor & Former Head, Department of Biotechnology, IIT Kharagpur, WB 721302, India","Process Biotechnology, Biorefinery with carbon capture & waste …, Biosurfactants & Biopolymers, Algal Biofuels & Bior",16927,https://scholar.google.com/citations?hl=en&user=FhCZ9AsAAAAJ
Rintu Banerjee,IIT Kharagpur,"Biotechnology, Food Engineering, Downstream Processing, EVOP",16489,https://scholar.google.com/citations?hl=en&user=o6JC0f4AAAAJ
Kumar Biradha,"Professor of Chemistry, Indian Institute of Technology, Kharagpur","Crystal engineering, Polymorphism, Coordination polymers, Porous materials, Crystallography",15874,https://scholar.google.com/citations?hl=en&user=KyFhOEgAAAAJ
Dipak khastgir,"Rubber Technology Centre,Indian Institute Of Technology,Kharagpur",,15121,https://scholar.google.com/citations?hl=en&user=apprCiUAAAAJ
Soumya K. Ghosh,"Indian Institute of Technology Kharagpur, India","Spatial Data Science, Cloud Computing, Fog and Edge Computing, IoT",14942,https://scholar.google.com/citations?hl=en&user=wTtdGd4AAAAJ
Debdeep Mukhopadhyay,"Professor (FIEEE, FNA, FASc, FNAE), Dept of Computer Science and Engineering, IIT …","Side Channel Analysis, Hardware Security, Computer Architecture, Fault Tolerance, Hardware",14621,https://scholar.google.com/citations?hl=en&user=lfhvrhYAAAAJ
Debabrata Pradhan,"Professor, Materials Science Centre, Indian Institute of Technology Kharagpur","Materials Chemistry, Nanomaterials, Energy generation and storage",14558,https://scholar.google.com/citations?hl=en&user=MpTQVj0AAAAJ
Samit K Ray,"Department of Physics, IIT Kharagpur","Semiconductor, SiGe, Nanostructures, Si heterostructures",14317,https://scholar.google.com/citations?hl=en&user=O4WvnJ4AAAAJ
